X,Y,U1,U2
0.0955573,0.0294755,-0.0,-0.0
0.0826239,0.056332,-0.0,-0.0
0.062349,0.0781832,-0.0,-0.0
0.0365341,0.0930874,-0.0,-0.0
0.00747301,0.0997204,-0.0,-0.0
-0.0222521,0.0974928,0.0,-0.0
-0.05,0.0866025,0.0,-0.0
-0.0733052,0.0680173,0.0,-0.0
-0.0900969,0.0433884,0.0,-0.0
-0.0988831,0.0149042,0.0,-0.0
-0.0988831,-0.0149042,0.0,-0.0
-0.0900969,-0.0433884,0.0,-0.0
-0.0733052,-0.0680173,0.0,-0.0
-0.05,-0.0866025,0.0,-0.0
-0.0222521,-0.0974928,0.0,-0.0
0.00747301,-0.0997204,-0.0,-0.0
0.0365341,-0.0930874,-0.0,-0.0
0.062349,-0.0781832,-0.0,-0.0
0.0826239,-0.056332,-0.0,-0.0
0.0955573,-0.0294755,-0.0,-0.0
0.1,0.0,-0.0,-0.0
0.48,-0.5,-0.0,0.0
0.46,-0.5,-0.0,0.0
0.44,-0.5,-0.0,0.0
0.42,-0.5,-0.0,0.0
0.4,-0.5,-0.0,0.0
0.37,-0.5,-0.0,0.0
0.35,-0.5,-0.0,0.0
0.33,-0.5,-0.0,0.0
0.31,-0.5,-0.0,0.0
0.29,-0.5,-0.0,0.0
0.27,-0.5,-0.0,0.0
0.25,-0.5,-0.0,0.0
0.23,-0.5,-0.0,0.0
0.21,-0.5,-0.0,0.0
0.19,-0.5,-0.0,0.0
0.17,-0.5,-0.0,0.0
0.15,-0.5,-0.0,0.0
0.12,-0.5,-0.0,0.0
0.1,-0.5,-0.0,0.0
0.08,-0.5,-0.0,0.0
0.06,-0.5,-0.0,0.0
0.04,-0.5,-0.0,0.0
0.02,-0.5,-0.0,0.0
0.5,-0.5,-0.0,0.0
0.0,-0.5,0.0,0.0
0.5,0.48,-0.0,-0.0
0.5,0.46,-0.0,-0.0
0.5,0.44,-0.0,-0.0
0.5,0.42,-0.0,-0.0
0.5,0.4,-0.0,-0.0
0.5,0.37,-0.0,-0.0
0.5,0.35,-0.0,-0.0
0.5,0.33,-0.0,-0.0
0.5,0.31,-0.0,-0.0
0.5,0.29,-0.0,-0.0
0.5,0.27,-0.0,-0.0
0.5,0.25,-0.0,-0.0
0.5,0.23,-0.0,-0.0
0.5,0.21,-0.0,-0.0
0.5,0.19,-0.0,-0.0
0.5,0.17,-0.0,-0.0
0.5,0.15,-0.0,-0.0
0.5,0.12,-0.0,-0.0
0.5,0.1,-0.0,-0.0
0.5,0.08,-0.0,-0.0
0.5,0.06,-0.0,-0.0
0.5,0.04,-0.0,-0.0
0.5,0.02,-0.0,-0.0
0.5,0.0,-0.0,-0.0
0.5,-0.02,-0.0,-0.0
0.5,-0.04,-0.0,-0.0
0.5,-0.06,-0.0,-0.0
0.5,-0.08,-0.0,-0.0
0.5,-0.1,-0.0,-0.0
0.5,-0.13,-0.0,-0.0
0.5,-0.15,-0.0,-0.0
0.5,-0.17,-0.0,-0.0
0.5,-0.19,-0.0,-0.0
0.5,-0.21,-0.0,-0.0
0.5,-0.23,-0.0,-0.0
0.5,-0.25,-0.0,-0.0
0.5,-0.27,-0.0,-0.0
0.5,-0.29,-0.0,-0.0
0.5,-0.31,-0.0,-0.0
0.5,-0.33,-0.0,-0.0
0.5,-0.35,-0.0,-0.0
0.5,-0.38,-0.0,-0.0
0.5,-0.4,-0.0,-0.0
0.5,-0.42,-0.0,-0.0
0.5,-0.44,-0.0,-0.0
0.5,-0.46,-0.0,-0.0
0.5,-0.48,-0.0,-0.0
0.5,0.5,-0.0,-0.0
-0.48,0.5,0.0,-0.0
-0.46,0.5,0.0,-0.0
-0.44,0.5,0.0,-0.0
-0.42,0.5,0.0,-0.0
-0.4,0.5,0.0,-0.0
-0.37,0.5,0.0,-0.0
