X,Y,U1,U2
0.0955573,0.0294755,0.374698,-2.181
0.0826239,0.056332,0.329682,-2.47803
0.062349,0.0781832,0.250026,-2.71723
0.0365341,0.0930874,0.14616,-2.88217
0.00747301,0.0997204,0.0270345,-2.95441
-0.0222521,0.0974928,-0.0884199,-2.93009
-0.05,0.0866025,-0.19875,-2.81109
-0.0733052,0.0680173,-0.292926,-2.60483
-0.0900969,0.0433884,-0.356873,-2.33533
-0.0988831,0.0149042,-0.386221,-2.02504
-0.0988831,-0.0149042,-0.38307,-1.70483
-0.0900969,-0.0433884,-0.346453,-1.40563
-0.0733052,-0.0680173,-0.277711,-1.14422
-0.05,-0.0866025,-0.185892,-0.951417
-0.0222521,-0.0974928,-0.0824927,-0.837865
0.00747301,-0.0997204,0.0256691,-0.814768
0.0365341,-0.0930874,0.137583,-0.881941
0.062349,-0.0781832,0.236497,-1.03567
0.0826239,-0.056332,0.314241,-1.27013
0.0955573,-0.0294755,0.368202,-1.54908
0.1,0.0,0.389441,-1.86396
0.48,-0.5,0.773502,-5.85306e-38
0.46,-0.5,0.734708,-5.77611e-38
0.44,-0.5,0.696353,-5.7028e-38
0.42,-0.5,0.658392,-5.63287e-38
0.4,-0.5,0.620789,-5.565069999999999e-38
0.37,-0.5,0.565023,-5.466089999999999e-38
0.35,-0.5,0.528302,-5.40118e-38
0.33,-0.5,0.491968,-5.33199e-38
0.31,-0.5,0.456051,-5.26396e-38
0.29,-0.5,0.420647,-5.18845e-38
0.27,-0.5,0.385816,-5.11384e-38
0.25,-0.5,0.351643,-5.03056e-38
0.23,-0.5,0.318226,-4.94709e-38
0.21,-0.5,0.285661,-4.85816e-38
0.19,-0.5,0.254035,-4.76703e-38
0.17,-0.5,0.223404,-4.67522e-38
0.15,-0.5,0.193811,-4.58438e-38
0.12,-0.5,0.151388,-4.45437e-38
0.1,-0.5,0.124348,-4.37735e-38
0.08,-0.5,0.0982337,-4.30679e-38
0.06,-0.5,0.0729232,-4.25055e-38
0.04,-0.5,0.048245,-4.20823e-38
0.02,-0.5,0.0240109,-4.18238e-38
0.5,-0.5,0.812817,-2.95764e-38
0.0,-0.5,-0.0,-4.1740899999999997e-38
0.5,0.48,0.68361,-3.35759
0.5,0.46,0.702488,-3.29096
0.5,0.44,0.721276,-3.22439
0.5,0.42,0.739902,-3.15784
0.5,0.4,0.758334,-3.09127
0.5,0.37,0.785613,-2.99131
0.5,0.35,0.803576,-2.92459
0.5,0.33,0.82139,-2.85783
0.5,0.31,0.839083,-2.79106
0.5,0.29,0.856652,-2.72433
0.5,0.27,0.874101,-2.65775
0.5,0.25,0.891381,-2.59144
0.5,0.23,0.908406,-2.52548
0.5,0.21,0.925072,-2.45994
0.5,0.19,0.941256,-2.39497
0.5,0.17,0.956757,-2.33067
0.5,0.15,0.971353,-2.26709
0.5,0.12,0.991041,-2.17314
0.5,0.1,1.00233,-2.11136
0.5,0.08,1.01181,-2.05028
0.5,0.06,1.01935,-1.98971
0.5,0.04,1.02469,-1.92943
0.5,0.02,1.02775,-1.86926
0.5,0.0,1.02843,-1.80906
0.5,-0.02,1.02669,-1.74853
0.5,-0.04,1.02264,-1.68746
0.5,-0.06,1.01638,-1.62547
0.5,-0.08,1.00815,-1.56246
0.5,-0.1,0.998199,-1.49826
0.5,-0.13,0.980715,-1.39945
0.5,-0.15,0.967754,-1.33186
0.5,-0.17,0.954167,-1.26282
0.5,-0.19,0.94028,-1.19241
0.5,-0.21,0.926303,-1.12074
0.5,-0.23,0.912514,-1.04778
0.5,-0.25,0.899198,-0.973634
0.5,-0.27,0.886524,-0.898564
0.5,-0.29,0.874624,-0.822687
0.5,-0.31,0.863597,-0.746052
0.5,-0.33,0.853556,-0.668799
0.5,-0.35,0.844565,-0.591045
0.5,-0.38,0.833135,-0.473676
0.5,-0.4,0.826907,-0.395113
0.5,-0.42,0.821838,-0.316307
0.5,-0.44,0.817881,-0.237343
0.5,-0.46,0.815076,-0.158289
0.5,-0.48,0.813385,-0.0791648
0.5,0.5,0.664722,-3.42426
-0.48,0.5,-0.631184,-3.44309
-0.46,0.5,-0.597788,-3.46196
-0.44,0.5,-0.564328,-3.48094
-0.42,0.5,-0.530837,-3.50011
-0.4,0.5,-0.497372,-3.51956
-0.37,0.5,-0.447384,-3.54938
-0.35,0.5,-0.414335,-3.56976
-0.33,0.5,-0.38166,-3.59056
-0.31,0.5,-0.349454,-3.61178
-0.29,0.5,-0.317858,-3.63341
-0.27,0.5,-0.287101,-3.65537
-0.25,0.5,-0.257385,-3.67751
-0.23,0.5,-0.228741,-3.69967
-0.21,0.5,-0.201295,-3.72167
-0.19,0.5,-0.175313,-3.74331
-0.17,0.5,-0.150872,-3.76424
-0.15,0.5,-0.128038,-3.78414
-0.12,0.5,-0.0969083,-3.81124
-0.1,0.5,-0.0779474,-3.82698
-0.08,0.5,-0.060482,-3.84038
-0.06,0.5,-0.0442338,-3.85123
-0.04,0.5,-0.0288626,-3.85919
-0.02,0.5,-0.0141524,-3.86409
0.0,0.5,0.000102171,-3.86576
0.02,0.5,0.0143566,-3.86411
0.04,0.5,0.0289281,-3.85923
0.06,0.5,0.0442817,-3.85124
0.08,0.5,0.0605876,-3.84038
0.1,0.5,0.0781011,-3.82691
0.13,0.5,0.10712,-3.80257
0.15,0.5,0.128351,-3.78405
0.17,0.5,0.151186,-3.76416
0.19,0.5,0.175588,-3.7433
0.21,0.5,0.20147,-3.72167
0.23,0.5,0.228865,-3.69962
0.25,0.5,0.257595,-3.67746
0.27,0.5,0.287384,-3.65535
0.29,0.5,0.318077,-3.63343
0.31,0.5,0.34963,-3.61181
0.33,0.5,0.381832,-3.59058
0.35,0.5,0.414525,-3.56977
0.38,0.5,0.464199,-3.53937
0.4,0.5,0.497561,-3.51958
0.42,0.5,0.531026,-3.50015
0.44,0.5,0.56452,-3.48098
0.46,0.5,0.59798,-3.46201
0.48,0.5,0.631376,-3.44313
-0.5,0.5,-0.664529,-3.42421
-0.5,-0.48,-0.813409,-0.0791428
-0.5,-0.46,-0.815107,-0.15829
-0.5,-0.44,-0.817907,-0.237362
-0.5,-0.42,-0.821871,-0.316288
-0.5,-0.4,-0.82696,-0.395071
-0.5,-0.37,-0.836696,-0.512856
-0.5,-0.35,-0.844589,-0.591024
-0.5,-0.33,-0.853604,-0.668773
-0.5,-0.31,-0.863641,-0.746002
-0.5,-0.29,-0.87464,-0.822644
-0.5,-0.27,-0.886541,-0.898575
-0.5,-0.25,-0.899239,-0.973627
-0.5,-0.23,-0.912556,-1.04769
-0.5,-0.21,-0.926288,-1.1207
-0.5,-0.19,-0.94026,-1.19245
-0.5,-0.17,-0.954183,-1.26288
-0.5,-0.15,-0.967775,-1.3319
-0.5,-0.12,-0.986865,-1.43268
-0.5,-0.1,-0.998231,-1.49821
-0.5,-0.08,-1.00817,-1.56248
-0.5,-0.06,-1.01639,-1.62546
-0.5,-0.04,-1.02259,-1.68733
-0.5,-0.02,-1.02663,-1.74847
-0.5,0.0,-1.02835,-1.80902
-0.5,0.02,-1.02769,-1.86925
-0.5,0.04,-1.02465,-1.92934
-0.5,0.06,-1.01928,-1.98961
-0.5,0.08,-1.01174,-2.05021
-0.5,0.1,-1.00221,-2.11133
-0.5,0.13,-0.984726,-2.20424
-0.5,0.15,-0.971267,-2.26705
-0.5,0.17,-0.95663,-2.33062
