X,Y,U1,U2
0.0955573,0.0294755,-0.324819,-1.12384
0.0826239,0.056332,-0.278779,-1.29596
0.062349,0.0781832,-0.210205,-1.43413
0.0365341,0.0930874,-0.123512,-1.52757
0.00747301,0.0997204,-0.0246862,-1.5697
-0.0222521,0.0974928,0.0749908,-1.5557
-0.05,0.0866025,0.170165,-1.48581
-0.0733052,0.0680173,0.247001,-1.36925
-0.0900969,0.0433884,0.30504,-1.21315
-0.0988831,0.0149042,0.337256,-1.03318
-0.0988831,-0.0149042,0.338126,-0.846948
-0.0900969,-0.0433884,0.307634,-0.671083
-0.0733052,-0.0680173,0.251532,-0.517694
-0.05,-0.0866025,0.171872,-0.403754
-0.0222521,-0.0974928,0.0761563,-0.335815
0.00747301,-0.0997204,-0.0254679,-0.321603
0.0365341,-0.0930874,-0.1259,-0.362048
0.062349,-0.0781832,-0.214037,-0.453683
0.0826239,-0.056332,-0.282324,-0.591117
0.0955573,-0.0294755,-0.326987,-0.756065
0.1,0.0,-0.341171,-0.939766
0.48,-0.5,-0.368831,-4.18887e-38
0.46,-0.5,-0.356726,-4.18902e-38
0.44,-0.5,-0.34457,-4.18627e-38
0.42,-0.5,-0.33232,-4.18056e-38
0.4,-0.5,-0.319942,-4.1722e-38
0.37,-0.5,-0.301046,-4.15489e-38
0.35,-0.5,-0.288184,-4.14025e-38
0.33,-0.5,-0.275058,-4.12263e-38
0.31,-0.5,-0.261638,-4.1034e-38
0.29,-0.5,-0.247881,-4.08074e-38
0.27,-0.5,-0.233755,-4.05688e-38
0.25,-0.5,-0.21922,-4.0296899999999997e-38
0.23,-0.5,-0.204241,-4.0019e-38
0.21,-0.5,-0.188802,-3.97227e-38
0.19,-0.5,-0.172869,-3.94149e-38
0.17,-0.5,-0.156435,-3.91061e-38
0.15,-0.5,-0.139503,-3.88018e-38
0.12,-0.5,-0.113195,-3.83693e-38
0.1,-0.5,-0.0951042,-3.81145e-38
0.08,-0.5,-0.0766126,-3.78822e-38
0.06,-0.5,-0.0577749,-3.76983e-38
0.04,-0.5,-0.0386707,-3.75607e-38
0.02,-0.5,-0.0193812,-3.74763e-38
0.5,-0.5,-0.380925,-2.09339e-38
0.0,-0.5,-0.0,-3.74499e-38
0.5,0.48,-0.414812,-1.7672
0.5,0.46,-0.411111,-1.73392
0.5,0.44,-0.407517,-1.70071
0.5,0.42,-0.404122,-1.66752
0.5,0.4,-0.400985,-1.63431
0.5,0.37,-0.396832,-1.58432
0.5,0.35,-0.394447,-1.5508
0.5,0.33,-0.392356,-1.51709
0.5,0.31,-0.390535,-1.48314
0.5,0.29,-0.388981,-1.44894
0.5,0.27,-0.387659,-1.41444
0.5,0.25,-0.386524,-1.37963
0.5,0.23,-0.385561,-1.34456
0.5,0.21,-0.384747,-1.30921
0.5,0.19,-0.384067,-1.27355
0.5,0.17,-0.383492,-1.23763
0.5,0.15,-0.38301,-1.20146
0.5,0.12,-0.382441,-1.14677
0.5,0.1,-0.382167,-1.11007
0.5,0.08,-0.381967,-1.07318
0.5,0.06,-0.381843,-1.03614
0.5,0.04,-0.381803,-0.998963
0.5,0.02,-0.38184,-0.961648
0.5,0.0,-0.381943,-0.924222
0.5,-0.02,-0.38211,-0.886707
0.5,-0.04,-0.382331,-0.849118
0.5,-0.06,-0.382591,-0.811454
0.5,-0.08,-0.382872,-0.773744
0.5,-0.1,-0.383156,-0.736006
0.5,-0.13,-0.383548,-0.679397
0.5,-0.15,-0.383758,-0.641682
0.5,-0.17,-0.383916,-0.60402
0.5,-0.19,-0.384008,-0.566428
0.5,-0.21,-0.384026,-0.528923
0.5,-0.23,-0.383968,-0.491537
0.5,-0.25,-0.383845,-0.454289
0.5,-0.27,-0.383659,-0.417174
0.5,-0.29,-0.383418,-0.380199
0.5,-0.31,-0.383129,-0.343391
0.5,-0.33,-0.382813,-0.306741
0.5,-0.35,-0.382484,-0.270243
0.5,-0.38,-0.381998,-0.215765
0.5,-0.4,-0.381697,-0.179597
0.5,-0.42,-0.381435,-0.143542
0.5,-0.44,-0.381219,-0.107576
0.5,-0.46,-0.381057,-0.0716767
0.5,-0.48,-0.380958,-0.0358268
0.5,0.5,-0.418525,-1.80053
