X,Y,U1,U2
0.0955573,0.0294755,-0.75783,0.39174
0.0826239,0.056332,-0.65743,0.419684
0.062349,0.0781832,-0.496963,0.442763
0.0365341,0.0930874,-0.291354,0.461116
0.00747301,0.0997204,-0.0563448,0.467548
-0.0222521,0.0974928,0.176618,0.465147
-0.05,0.0866025,0.399136,0.455199
-0.0733052,0.0680173,0.583204,0.431853
-0.0900969,0.0433884,0.716009,0.40642
-0.0988831,0.0149042,0.7844,0.377468
-0.0988831,-0.0149042,0.782829,0.348254
-0.0900969,-0.0433884,0.710438,0.323439
-0.0733052,-0.0680173,0.576059,0.301399
-0.05,-0.0866025,0.390269,0.286222
-0.0222521,-0.0974928,0.173035,0.278397
0.00747301,-0.0997204,-0.0562038,0.277329
0.0365341,-0.0930874,-0.287106,0.281619
0.062349,-0.0781832,-0.490347,0.292673
0.0826239,-0.056332,-0.648775,0.312619
0.0955573,-0.0294755,-0.755092,0.334453
0.1,0.0,-0.792411,0.362411
0.48,-0.5,-1.16214,-5.12506e-39
0.46,-0.5,-1.11238,-5.79393e-39
0.44,-0.5,-1.06293,-6.39262e-39
0.42,-0.5,-1.0137,-6.922619999999999e-39
0.4,-0.5,-0.964607,-7.398719999999999e-39
0.37,-0.5,-0.891081,-8.025809999999999e-39
0.35,-0.5,-0.842107,-8.393119999999999e-39
0.33,-0.5,-0.793117,-8.75773e-39
0.31,-0.5,-0.744095,-9.09104e-39
0.29,-0.5,-0.695069,-9.44324e-39
0.27,-0.5,-0.646047,-9.771699999999999e-39
0.25,-0.5,-0.597051,-1.01311e-38
0.23,-0.5,-0.548116,-1.04839e-38
0.21,-0.5,-0.499309,-1.08595e-38
0.19,-0.5,-0.450655,-1.1239e-38
0.17,-0.5,-0.402198,-1.16229e-38
0.15,-0.5,-0.353973,-1.20044e-38
0.12,-0.5,-0.28213,-1.25546e-38
0.1,-0.5,-0.234574,-1.28824e-38
0.08,-0.5,-0.187286,-1.31841e-38
0.06,-0.5,-0.140233,-1.34263e-38
0.04,-0.5,-0.0933732,-1.36095e-38
0.02,-0.5,-0.0466511,-1.37211e-38
0.5,-0.5,-1.21234,-2.27896e-39
0.0,-0.5,0.0,-1.37577e-38
0.5,0.48,-1.14554,0.553647
0.5,0.46,-1.15697,0.540274
0.5,0.44,-1.16846,0.526862
0.5,0.42,-1.18008,0.513433
0.5,0.4,-1.19187,0.500022
0.5,0.37,-1.20997,0.48005
0.5,0.35,-1.22236,0.466909
0.5,0.33,-1.23501,0.454004
0.5,0.31,-1.24792,0.441402
0.5,0.29,-1.26107,0.429174
0.5,0.27,-1.27443,0.417466
0.5,0.25,-1.2879,0.406404
0.5,0.23,-1.30137,0.396004
0.5,0.21,-1.31472,0.38634
0.5,0.19,-1.32784,0.377571
0.5,0.17,-1.34051,0.369735
0.5,0.15,-1.35252,0.362862
0.5,0.12,-1.36882,0.35436
0.5,0.1,-1.37824,0.349753
0.5,0.08,-1.38619,0.345997
0.5,0.06,-1.39256,0.342893
0.5,0.04,-1.39714,0.340223
0.5,0.02,-1.39984,0.337828
0.5,0.0,-1.40056,0.335552
0.5,-0.02,-1.39928,0.333118
0.5,-0.04,-1.39606,0.330311
0.5,-0.06,-1.39099,0.326804
0.5,-0.08,-1.38423,0.322475
0.5,-0.1,-1.37598,0.317153
0.5,-0.13,-1.36135,0.306996
0.5,-0.15,-1.3504,0.298704
0.5,-0.17,-1.33883,0.289083
0.5,-0.19,-1.32692,0.278182
0.5,-0.21,-1.31483,0.266075
0.5,-0.23,-1.3028,0.252689
0.5,-0.25,-1.2911,0.238097
0.5,-0.27,-1.27987,0.222524
0.5,-0.29,-1.26923,0.206063
0.5,-0.31,-1.25929,0.188724
0.5,-0.33,-1.25017,0.170637
0.5,-0.35,-1.24193,0.151915
0.5,-0.38,-1.23138,0.122832
0.5,-0.4,-1.22558,0.102968
0.5,-0.42,-1.22084,0.0827444
0.5,-0.44,-1.21712,0.0622627
0.5,-0.46,-1.21447,0.0416146
0.5,-0.48,-1.21288,0.0208404
0.5,0.5,-1.13413,0.566984
-0.48,0.5,1.0874,0.578407
-0.46,0.5,1.04075,0.58984
-0.44,0.5,0.994147,0.601212
-0.42,0.5,0.947553,0.612479
-0.4,0.5,0.900944,0.623618
-0.37,0.5,0.830956,0.640083
-0.35,0.5,0.784239,0.650914
-0.33,0.5,0.737486,0.66165
-0.31,0.5,0.690716,0.672303
-0.29,0.5,0.643962,0.682883
-0.27,0.5,0.59728,0.693393
-0.25,0.5,0.550753,0.703809
-0.23,0.5,0.504424,0.714082
-0.21,0.5,0.458353,0.724156
-0.19,0.5,0.412626,0.733964
-0.17,0.5,0.367311,0.74339
-0.15,0.5,0.322457,0.752307
-0.12,0.5,0.256135,0.764409
-0.1,0.5,0.212492,0.771417
-0.08,0.5,0.169357,0.777375
-0.06,0.5,0.126636,0.7822
-0.04,0.5,0.0842116,0.785731
-0.02,0.5,0.0420104,0.787907
0.0,0.5,-1.68037e-05,0.788646
0.02,0.5,-0.0420432,0.78791
0.04,0.5,-0.084182,0.785738
0.06,0.5,-0.126608,0.782187
0.08,0.5,-0.169361,0.777358
0.1,0.5,-0.212523,0.771367
0.13,0.5,-0.278165,0.760518
0.15,0.5,-0.322538,0.752248
0.17,0.5,-0.367386,0.743327
0.19,0.5,-0.412681,0.733925
0.21,0.5,-0.458381,0.724117
0.23,0.5,-0.504456,0.714033
0.25,0.5,-0.550802,0.703765
0.27,0.5,-0.597338,0.693361
0.29,0.5,-0.644002,0.682857
0.31,0.5,-0.690756,0.672278
0.33,0.5,-0.737532,0.661628
0.35,0.5,-0.784292,0.650898
0.38,0.5,-0.854349,0.634614
0.4,0.5,-0.900998,0.623611
0.42,0.5,-0.947607,0.612474
0.44,0.5,-0.9942,0.601212
0.46,0.5,-1.04081,0.589844
0.48,0.5,-1.08745,0.578415
-0.5,0.5,1.13407,0.566971
-0.5,-0.48,1.21285,0.020823
-0.5,-0.46,1.21445,0.0416205
-0.5,-0.44,1.2171,0.0622942
-0.5,-0.42,1.22082,0.0827467
-0.5,-0.4,1.22559,0.102952
-0.5,-0.37,1.23464,0.132645
-0.5,-0.35,1.24192,0.151925
-0.5,-0.33,1.25018,0.170653
-0.5,-0.31,1.2593,0.188713
-0.5,-0.29,1.26922,0.206053
-0.5,-0.27,1.27986,0.222582
-0.5,-0.25,1.29112,0.238147
-0.5,-0.23,1.30284,0.252664
-0.5,-0.21,1.31482,0.266104
-0.5,-0.19,1.32691,0.278298
-0.5,-0.17,1.33887,0.289212
-0.5,-0.15,1.35045,0.298816
-0.5,-0.12,1.36656,0.310712
-0.5,-0.1,1.37606,0.317175
-0.5,-0.08,1.38431,0.322556
-0.5,-0.06,1.39107,0.326857
-0.5,-0.04,1.3961,0.330272
-0.5,-0.02,1.39932,0.333123
-0.5,0.0,1.40059,0.335584
-0.5,0.02,1.39989,0.337882
-0.5,0.04,1.39721,0.340204
-0.5,0.06,1.39262,0.342851
-0.5,0.08,1.38625,0.345978
-0.5,0.1,1.37826,0.349767
-0.5,0.13,1.36369,0.356971
-0.5,0.15,1.35256,0.362872
-0.5,0.17,1.34051,0.369723
-0.5,0.19,1.32784,0.377583
-0.5,0.21,1.31476,0.386352
-0.5,0.23,1.30139,0.395958
-0.5,0.25,1.28789,0.406357
-0.5,0.27,1.27441,0.417472
-0.5,0.29,1.26107,0.429164
-0.5,0.31,1.2479,0.441368
-0.5,0.33,1.23498,0.453974
-0.5,0.35,1.22233,0.466889
-0.5,0.38,1.20385,0.486659
-0.5,0.4,1.19184,0.500008
-0.5,0.42,1.18004,0.513421
-0.5,0.44,1.16842,0.52685
-0.5,0.46,1.15693,0.540261
-0.5,0.48,1.1455,0.553633
-0.5,-0.5,1.21233,-2.2841699999999998e-39
-0.02,-0.5,0.04665,-1.37183e-38
-0.04,-0.5,0.0933694,-1.36093e-38
-0.06,-0.5,0.140229,-1.3426e-38
-0.08,-0.5,0.187282,-1.31823e-38
-0.1,-0.5,0.234569,-1.2888e-38
-0.13,-0.5,0.305989,-1.23774e-38
-0.15,-0.5,0.353949,-1.20165e-38
-0.17,-0.5,0.402178,-1.1620099999999999e-38
-0.19,-0.5,0.450635,-1.12381e-38
-0.21,-0.5,0.499279,-1.08597e-38
-0.23,-0.5,0.548092,-1.04988e-38
-0.25,-0.5,0.597015,-1.01188e-38
-0.27,-0.5,0.646011,-9.780409999999999e-39
-0.29,-0.5,0.695052,-9.432599999999999e-39
-0.31,-0.5,0.744086,-9.09697e-39
-0.33,-0.5,0.793101,-8.755399999999999e-39
-0.35,-0.5,0.842093,-8.40094e-39
-0.38,-0.5,0.915559,-7.8264e-39
-0.4,-0.5,0.964573,-7.39928e-39
-0.42,-0.5,1.01367,-6.92366e-39
-0.44,-0.5,1.0629,-6.39302e-39
-0.46,-0.5,1.11236,-5.7903999999999994e-39
-0.48,-0.5,1.16213,-5.1118299999999996e-39
-0.106781,-0.0256244,0.766169,0.356281
-0.107832,0.0151391,0.7865,0.367368
0.124498,-0.023053,-0.774918,0.368384
0.144827,-0.0139002,-0.79296,0.366992
0.162654,-0.0231399,-0.79387,0.367057
0.182477,-0.0209589,-0.813233,0.362981
0.213596,-0.0223746,-0.847874,0.356707
0.2266,-0.0219029,-0.866037,0.354137
0.248363,-0.0247229,-0.897648,0.3495
0.262352,-0.024065,-0.920724,0.347034
0.284542,-0.0196037,-0.960433,0.344372
0.307608,-0.0254212,-1.00103,0.339283
0.331309,-0.0227168,-1.04731,0.336906
0.359677,-0.0195439,-1.10456,0.334857
0.381199,-0.0255104,-1.14766,0.330771
0.39445,-0.0248091,-1.17545,0.33009
0.418873,-0.0219922,-1.2275,0.329931
0.439745,-0.0217889,-1.27183,0.329625
0.452315,-0.0231638,-1.29841,0.329314
0.476567,-0.0224094,-1.35003,0.330553
0.47754,0.000739599,-1.35384,0.335705
0.453297,0.00321964,-1.3026,0.336873
0.438333,0.00226967,-1.27084,0.337233
0.423712,0.000533538,-1.23983,0.33741
0.395709,-0.000876594,-1.18086,0.33861
0.381768,0.00195347,-1.15197,0.340638
0.352849,0.00225322,-1.09297,0.343131
0.329482,3.60363e-06,-1.04683,0.344517
0.30815,-0.00326592,-1.0061,0.345659
0.286163,-0.00417613,-0.966155,0.347818
0.267623,-0.00040341,-0.934515,0.350647
0.255554,0.000302463,-0.914946,0.352014
0.234337,2.34683e-05,-0.882725,0.354125
0.211863,0.00076166,-0.852684,0.356238
0.191758,-0.00277593,-0.830427,0.358671
0.168814,0.00121293,-0.811162,0.359682
0.148228,0.00374966,-0.800432,0.360119
0.126665,-0.00174402,-0.795988,0.363114
0.100995,-0.040955,-0.720954,0.347628
0.12334,-0.0334137,-0.752592,0.369776
0.144849,-0.0400602,-0.752342,0.372253
0.164493,-0.0383815,-0.774727,0.368671
0.189188,-0.0389798,-0.802325,0.362255
0.209935,-0.0470738,-0.821924,0.355486
0.231663,-0.0425976,-0.85962,0.350299
0.247582,-0.0443088,-0.884497,0.345887
0.273856,-0.0366767,-0.934825,0.341963
0.290257,-0.0457283,-0.960044,0.335959
0.315905,-0.0446181,-1.00974,0.331637
0.333815,-0.0455546,-1.0448,0.328485
0.352298,-0.0401975,-1.08415,0.32806
0.377743,-0.0450227,-1.13516,0.323645
0.396549,-0.0489224,-1.17346,0.320824
0.421835,-0.0406282,-1.22978,0.323276
0.432186,-0.0460988,-1.25041,0.321358
0.449733,-0.0413484,-1.28927,0.323605
0.480006,-0.0424323,-1.35354,0.326244
0.107591,-0.061234,-0.646972,0.356241
0.127232,-0.068244,-0.652179,0.363405
0.148549,-0.0581396,-0.714835,0.369099
0.166286,-0.0686874,-0.718439,0.362019
0.185084,-0.0692637,-0.749769,0.356851
0.20656,-0.0646962,-0.794176,0.352025
0.229349,-0.0654636,-0.833227,0.344764
0.250769,-0.0671471,-0.870738,0.338114
0.264176,-0.0543317,-0.906249,0.338962
0.296408,-0.0658338,-0.95955,0.327395
0.313578,-0.063918,-0.994943,0.324743
0.330509,-0.0595898,-1.03157,0.323559
0.356721,-0.0607158,-1.08498,0.319415
0.377309,-0.0607565,-1.12819,0.317333
0.399723,-0.064702,-1.17425,0.314315
0.420971,-0.0629661,-1.22067,0.314846
0.435646,-0.0593629,-1.25362,0.31668
0.462522,-0.0639955,-1.30991,0.317575
0.481278,-0.0617666,-1.35083,0.321599
0.0834876,-0.083603,-0.499981,0.318788
0.102498,-0.0820332,-0.551589,0.340116
0.133928,-0.0817737,-0.622824,0.356022
0.155175,-0.0821734,-0.666393,0.356184
0.175282,-0.0843592,-0.702513,0.351554
0.190267,-0.0814238,-0.737842,0.349556
0.206117,-0.0844129,-0.764027,0.343581
0.226659,-0.0861893,-0.802302,0.336667
0.253158,-0.0883873,-0.853286,0.328142
0.273508,-0.0853703,-0.897829,0.324276
0.297074,-0.0817078,-0.949119,0.32045
0.317056,-0.080215,-0.991381,0.317061
0.336183,-0.0819715,-1.03027,0.312977
0.354967,-0.0858742,-1.06766,0.308504
0.376482,-0.0868362,-1.11346,0.305953
0.39965,-0.0892275,-1.16246,0.303743
0.421884,-0.0806154,-1.21515,0.307698
0.442334,-0.0826517,-1.25873,0.308297
0.462121,-0.0819469,-1.30207,0.311441
0.481251,-0.0809947,-1.34379,0.316124
-0.475682,-0.108432,1.31931,0.305137
-0.458951,-0.103829,1.28497,0.302551
-0.436541,-0.104814,1.23515,0.298454
-0.416005,-0.106092,1.18909,0.296172
-0.402504,-0.103884,1.16056,0.296868
-0.371413,-0.105456,1.09119,0.297305
-0.351293,-0.100758,1.05027,0.301702
-0.333815,-0.102593,1.01096,0.303195
-0.31418,-0.103062,0.968001,0.306311
-0.292322,-0.102555,0.921413,0.311106
-0.272434,-0.106882,0.87426,0.313183
-0.250163,-0.0996189,0.834355,0.322953
-0.228559,-0.1073,0.777782,0.323647
-0.2074,-0.106084,0.732418,0.329586
-0.185596,-0.107531,0.67963,0.332507
-0.164636,-0.105391,0.633559,0.336369
-0.126214,-0.111157,0.51759,0.323156
-0.105626,-0.113859,0.44828,0.307265
-0.084962,-0.10825,0.399814,0.29519
-0.0640805,-0.103631,0.346366,0.27882
-0.0435718,-0.100973,0.277297,0.267196
0.0397161,-0.101458,-0.257237,0.266163
0.0595324,-0.106263,-0.31852,0.271434
0.0882078,-0.103883,-0.426714,0.304309
0.103546,-0.0970579,-0.496444,0.326183
0.125986,-0.103665,-0.538069,0.33183
0.151866,-0.108137,-0.595206,0.333322
0.167169,-0.107533,-0.635092,0.334204
0.187822,-0.105727,-0.688263,0.333627
0.209441,-0.104323,-0.73968,0.330251
0.230847,-0.103739,-0.787663,0.325408
0.251829,-0.101233,-0.835988,0.321501
0.264985,-0.104011,-0.861103,0.316579
0.28416,-0.100869,-0.905385,0.313756
0.312118,-0.102991,-0.963598,0.306746
0.337377,-0.10815,-1.01456,0.299713
0.352631,-0.104662,-1.05044,0.299512
0.374158,-0.107938,-1.0955,0.295803
0.394526,-0.102397,-1.1438,0.297649
0.419259,-0.100854,-1.19914,0.298736
0.440603,-0.0998968,-1.2466,0.301016
0.46006,-0.109525,-1.2844,0.300433
0.480513,-0.100288,-1.33375,0.309616
-0.0818015,-0.0807665,0.512535,0.316819
-0.103284,-0.0843161,0.543784,0.339142
-0.13275,-0.0811757,0.622,0.356089
-0.14342,-0.0837006,0.637342,0.355432
-0.165881,-0.0850993,0.681403,0.352885
-0.187484,-0.0888108,0.718855,0.346042
-0.20387,-0.0806547,0.765518,0.346146
-0.224243,-0.0810785,0.804534,0.340013
-0.254186,-0.0855968,0.858452,0.329289
-0.274427,-0.0885674,0.896732,0.322539
-0.294037,-0.0830458,0.941836,0.320517
-0.314013,-0.0889141,0.978867,0.313593
-0.331713,-0.0867164,1.01775,0.311456
-0.351345,-0.0848046,1.06069,0.309465
-0.373505,-0.0821258,1.10973,0.308369
-0.399506,-0.0818306,1.16601,0.307045
-0.421101,-0.0844096,1.21173,0.306115
-0.436441,-0.080196,1.24706,0.308729
-0.481296,-0.0882319,1.34091,0.313906
-0.103296,-0.0621663,0.63766,0.35201
-0.125682,-0.0649609,0.661078,0.365171
-0.145764,-0.063738,0.696283,0.367656
-0.165907,-0.0605719,0.734912,0.365202
-0.185027,-0.0639817,0.759195,0.358998
-0.210503,-0.0649623,0.800671,0.350893
-0.227331,-0.0616275,0.834158,0.346842
-0.256854,-0.0661505,0.883125,0.336862
-0.273998,-0.0623897,0.918583,0.333854
-0.291023,-0.0622751,0.951476,0.329989
-0.310482,-0.0656705,0.987732,0.324649
-0.336409,-0.0610858,1.04289,0.322016
-0.357136,-0.0659205,1.08344,0.317205
-0.374553,-0.059872,1.12284,0.31795
-0.396451,-0.0564822,1.1706,0.317823
-0.421448,-0.0583645,1.22349,0.316622
-0.440463,-0.064651,1.26213,0.315011
-0.459145,-0.0659939,1.302,0.31646
-0.480721,-0.0690487,1.34724,0.319481
-0.102271,-0.0472345,0.699022,0.35104
-0.127881,-0.036747,0.747779,0.371235
-0.146502,-0.0421057,0.749651,0.371935
-0.165151,-0.0446128,0.764782,0.368423
-0.186259,-0.0412441,0.795966,0.36321
-0.211874,-0.0452161,0.827085,0.355307
-0.232551,-0.0431236,0.860997,0.349977
-0.252251,-0.0349986,0.898596,0.346839
-0.271146,-0.0339801,0.931445,0.343159
-0.288558,-0.0472447,0.956062,0.33581
-0.307299,-0.0469881,0.992001,0.332329
-0.329078,-0.0438567,1.03606,0.329829
-0.359192,-0.0382947,1.09897,0.328044
-0.37273,-0.0461335,1.12434,0.323641
-0.395692,-0.0412246,1.17413,0.323839
-0.42011,-0.0406883,1.22618,0.32327
-0.44012,-0.0467147,1.26732,0.321363
-0.453517,-0.0447577,1.29655,0.322726
-0.47779,-0.0493369,1.34715,0.324169
-0.126283,0.00488165,0.795794,0.361079
-0.143884,-0.00261592,0.798474,0.362798
-0.183426,-0.000213168,0.823101,0.359054
-0.207766,-4.63847e-05,0.847865,0.356782
-0.229563,-0.0010559,0.876184,0.354605
-0.247334,5.92146e-05,0.902301,0.352909
-0.262992,0.00709622,0.92695,0.352408
-0.289199,0.0037503,0.971899,0.349494
-0.310057,0.00203451,1.00994,0.347052
-0.331991,0.00118926,1.05177,0.344705
-0.355218,-0.00623071,1.09735,0.339995
-0.373698,0.00472226,1.13535,0.342259
-0.394081,0.000734422,1.17755,0.339301
-0.417582,-0.00953214,1.22631,0.334301
-0.437134,-0.00157414,1.26825,0.336092
-0.457423,-0.00120186,1.31126,0.335508
-0.479497,0.00176933,1.35797,0.335849
-0.476193,-0.0275493,1.3485,0.329327
-0.45632,-0.0225446,1.30713,0.329625
-0.438696,-0.0261018,1.269,0.328206
-0.413283,-0.0214859,1.21577,0.330335
-0.389429,-0.0197087,1.16592,0.332292
-0.371209,-0.0207297,1.12793,0.333347
-0.351968,-0.0197948,1.08896,0.335588
-0.33448,-0.0199435,1.05412,0.337486
-0.31531,-0.018992,1.01725,0.340181
-0.293033,-0.0162309,0.976634,0.344026
-0.271014,-0.0198987,0.93686,0.34642
-0.252897,-0.0209354,0.906382,0.349315
-0.233339,-0.0190037,0.877057,0.353057
-0.207139,-0.0236689,0.839111,0.358064
-0.190229,-0.0187277,0.822766,0.361249
-0.166638,-0.0222261,0.798317,0.36645
