X,Y,U1,U2
0.0955573,0.0294755,-0.474698,-0.251444
0.0826239,0.056332,-0.410652,-0.304745
0.062349,0.0781832,-0.310216,-0.347236
0.0365341,0.0930874,-0.181976,-0.374705
0.00747301,0.0997204,-0.0355,-0.38794
-0.0222521,0.0974928,0.110359,-0.383663
-0.05,0.0866025,0.249665,-0.361374
-0.0733052,0.0680173,0.364171,-0.327317
-0.0900969,0.0433884,0.447789,-0.279018
-0.0988831,0.0149042,0.491745,-0.223159
-0.0988831,-0.0149042,0.491354,-0.165017
-0.0900969,-0.0433884,0.446215,-0.108829
-0.0733052,-0.0680173,0.362616,-0.0600062
-0.05,-0.0866025,0.246229,-0.0231875
-0.0222521,-0.0974928,0.109153,-0.000668729
0.00747301,-0.0997204,-0.0357356,0.00430448
0.0365341,-0.0930874,-0.180934,-0.00927121
0.062349,-0.0781832,-0.308636,-0.0394137
0.0826239,-0.056332,-0.408021,-0.0830671
0.0955573,-0.0294755,-0.474268,-0.136431
0.1,0.0,-0.496948,-0.194182
0.48,-0.5,-0.678232,-1.84765e-38
0.46,-0.5,-0.650609,-1.87857e-38
0.44,-0.5,-0.623111,-1.90515e-38
0.42,-0.5,-0.595677,-1.92741e-38
0.4,-0.5,-0.568258,-1.94617e-38
0.37,-0.5,-0.527055,-1.96846e-38
0.35,-0.5,-0.499505,-1.97978e-38
0.33,-0.5,-0.471845,-1.98983e-38
0.31,-0.5,-0.444059,-1.99782e-38
0.29,-0.5,-0.41614,-2.00536e-38
0.27,-0.5,-0.388081,-2.01134e-38
0.25,-0.5,-0.359877,-2.01747e-38
0.23,-0.5,-0.331531,-2.02307e-38
0.21,-0.5,-0.303067,-2.02901e-38
0.19,-0.5,-0.274483,-2.03468e-38
0.17,-0.5,-0.245797,-2.04052e-38
0.15,-0.5,-0.217027,-2.04643e-38
0.12,-0.5,-0.173751,-2.05518e-38
0.1,-0.5,-0.144843,-2.06052e-38
0.08,-0.5,-0.115906,-2.0654999999999998e-38
0.06,-0.5,-0.0869442,-2.0696099999999998e-38
0.04,-0.5,-0.0579687,-2.07277e-38
0.02,-0.5,-0.0289856,-2.07468e-38
0.5,-0.5,-0.706051,-9.103329999999999e-39
0.0,-0.5,0.0,-2.07535e-38
0.5,0.48,-0.688256,-0.424161
0.5,0.46,-0.692106,-0.417535
0.5,0.44,-0.696027,-0.410951
0.5,0.42,-0.700083,-0.404385
0.5,0.4,-0.704319,-0.397801
0.5,0.37,-0.711078,-0.387791
0.5,0.35,-0.715877,-0.380966
0.5,0.33,-0.720912,-0.373954
0.5,0.31,-0.726169,-0.366713
0.5,0.29,-0.731642,-0.359203
0.5,0.27,-0.737299,-0.351338
0.5,0.25,-0.743077,-0.343058
0.5,0.23,-0.748924,-0.334366
0.5,0.21,-0.754776,-0.32523
0.5,0.19,-0.760569,-0.315565
0.5,0.17,-0.766195,-0.305365
0.5,0.15,-0.771551,-0.294625
0.5,0.12,-0.778858,-0.277515
0.5,0.1,-0.783098,-0.265525
0.5,0.08,-0.786692,-0.253072
0.5,0.06,-0.789583,-0.240257
0.5,0.04,-0.791681,-0.22719
0.5,0.02,-0.79294,-0.213944
0.5,0.0,-0.793314,-0.2006
0.5,-0.02,-0.792787,-0.187295
0.5,-0.04,-0.791387,-0.174132
0.5,-0.06,-0.789144,-0.161265
0.5,-0.08,-0.786133,-0.148759
0.5,-0.1,-0.782436,-0.136701
0.5,-0.13,-0.775833,-0.119616
0.5,-0.15,-0.77086,-0.108938
0.5,-0.17,-0.765583,-0.0988924
0.5,-0.19,-0.760121,-0.0894655
0.5,-0.21,-0.754548,-0.0806283
0.5,-0.23,-0.748974,-0.0724273
0.5,-0.25,-0.743525,-0.0648354
0.5,-0.27,-0.738268,-0.0577481
0.5,-0.29,-0.733268,-0.0511244
0.5,-0.31,-0.728568,-0.0449703
0.5,-0.33,-0.724236,-0.0392217
0.5,-0.35,-0.72031,-0.033825
0.5,-0.38,-0.715251,-0.0262947
0.5,-0.4,-0.71246,-0.0215522
0.5,-0.42,-0.71017,-0.0170186
0.5,-0.44,-0.708371,-0.0126388
0.5,-0.46,-0.707087,-0.0083612
0.5,-0.48,-0.706312,-0.0041609
0.5,0.5,-0.684414,-0.430828
-0.48,0.5,0.657753,-0.426966
-0.46,0.5,0.631119,-0.423111
-0.44,0.5,0.604528,-0.419326
-0.42,0.5,0.577955,-0.415669
-0.4,0.5,0.551365,-0.412176
-0.37,0.5,0.511371,-0.407282
-0.35,0.5,0.484595,-0.404255
-0.33,0.5,0.457699,-0.401403
-0.31,0.5,0.430673,-0.398719
-0.29,0.5,0.403507,-0.39619
-0.27,0.5,0.376185,-0.393797
-0.25,0.5,0.348719,-0.39152
-0.23,0.5,0.321132,-0.389356
-0.21,0.5,0.293441,-0.387301
-0.19,0.5,0.265641,-0.385354
-0.17,0.5,0.237765,-0.383518
-0.15,0.5,0.209833,-0.381804
-0.12,0.5,0.167875,-0.379503
-0.1,0.5,0.139882,-0.378184
-0.08,0.5,0.111897,-0.377064
-0.06,0.5,0.0839184,-0.376158
-0.04,0.5,0.055943,-0.375498
-0.02,0.5,0.0279697,-0.375093
0.0,0.5,1.29399e-05,-0.374955
0.02,0.5,-0.0279432,-0.375095
0.04,0.5,-0.0559045,-0.375504
0.06,0.5,-0.0838854,-0.376171
0.08,0.5,-0.111874,-0.377077
0.1,0.5,-0.139867,-0.378204
0.13,0.5,-0.181844,-0.380253
0.15,0.5,-0.209816,-0.381826
0.17,0.5,-0.237743,-0.383545
0.19,0.5,-0.265614,-0.385382
0.21,0.5,-0.293419,-0.387331
0.23,0.5,-0.321126,-0.389381
0.25,0.5,-0.348703,-0.391541
0.27,0.5,-0.376158,-0.393817
0.29,0.5,-0.403482,-0.396215
0.31,0.5,-0.430659,-0.398744
0.33,0.5,-0.457691,-0.401423
0.35,0.5,-0.484587,-0.404269
0.38,0.5,-0.524712,-0.408882
0.4,0.5,-0.551359,-0.412187
0.42,0.5,-0.577949,-0.415681
0.44,0.5,-0.60452,-0.419335
0.46,0.5,-0.63111,-0.423119
0.48,0.5,-0.657744,-0.426972
-0.5,0.5,0.684423,-0.430825
-0.5,-0.48,0.706287,-0.00416846
-0.5,-0.46,0.707064,-0.00835705
-0.5,-0.44,0.708345,-0.0126199
-0.5,-0.42,0.71015,-0.0170119
-0.5,-0.4,0.712452,-0.0215537
-0.5,-0.37,0.716807,-0.0287301
-0.5,-0.35,0.720293,-0.0338121
-0.5,-0.33,0.724234,-0.0392037
-0.5,-0.31,0.728568,-0.0449655
-0.5,-0.29,0.733252,-0.0511209
-0.5,-0.27,0.738259,-0.0577071
-0.5,-0.25,0.743532,-0.0647962
-0.5,-0.23,0.74899,-0.0724246
-0.5,-0.21,0.754542,-0.0805976
-0.5,-0.19,0.76012,-0.0893903
-0.5,-0.17,0.765607,-0.0988105
-0.5,-0.15,0.770895,-0.108864
-0.5,-0.12,0.778204,-0.125137
-0.5,-0.1,0.78249,-0.136672
-0.5,-0.08,0.78619,-0.148703
-0.5,-0.06,0.789204,-0.161221
-0.5,-0.04,0.791429,-0.174129
-0.5,-0.02,0.792835,-0.187274
-0.5,0.0,0.793358,-0.200568
-0.5,0.02,0.792994,-0.213901
-0.5,0.04,0.791748,-0.227182
-0.5,0.06,0.789645,-0.240264
-0.5,0.08,0.786751,-0.25307
-0.5,0.1,0.783139,-0.265508
-0.5,0.13,0.776589,-0.283331
-0.5,0.15,0.771603,-0.294609
-0.5,0.17,0.766228,-0.305364
-0.5,0.19,0.760602,-0.31555
-0.5,0.21,0.754829,-0.325209
-0.5,0.23,0.748969,-0.33438
-0.5,0.25,0.743107,-0.343074
-0.5,0.27,0.73732,-0.351323
-0.5,0.29,0.731672,-0.359196
-0.5,0.31,0.726195,-0.366724
-0.5,0.33,0.720929,-0.373964
-0.5,0.35,0.715893,-0.380969
-0.5,0.38,0.708787,-0.391155
-0.5,0.4,0.704338,-0.397799
-0.5,0.42,0.700101,-0.404381
-0.5,0.44,0.696043,-0.410947
-0.5,0.46,0.69212,-0.417532
-0.5,0.48,0.688268,-0.424159
-0.5,-0.5,0.706031,-9.105389999999999e-39
-0.02,-0.5,0.0289829,-2.07467e-38
-0.04,-0.5,0.0579625,-2.07281e-38
-0.06,-0.5,0.0869367,-2.06971e-38
-0.08,-0.5,0.115896,-2.06562e-38
-0.1,-0.5,0.144833,-2.06075e-38
-0.13,-0.5,0.188168,-2.05247e-38
-0.15,-0.5,0.217005,-2.04672e-38
-0.17,-0.5,0.24578,-2.04049e-38
-0.19,-0.5,0.274462,-2.03478e-38
-0.21,-0.5,0.303038,-2.02897e-38
-0.23,-0.5,0.331508,-2.02351e-38
-0.25,-0.5,0.359848,-2.01731e-38
-0.27,-0.5,0.388049,-2.01165e-38
-0.29,-0.5,0.41612,-2.00502e-38
-0.31,-0.5,0.444041,-1.99806e-38
-0.33,-0.5,0.471825,-1.98986e-38
-0.35,-0.5,0.499484,-1.9801e-38
-0.38,-0.5,0.54078,-1.9617e-38
-0.4,-0.5,0.568227,-1.9461899999999998e-38
-0.42,-0.5,0.595647,-1.92745e-38
-0.44,-0.5,0.623083,-1.90512e-38
-0.46,-0.5,0.650584,-1.87837e-38
-0.48,-0.5,0.678213,-1.84697e-38
-0.106781,-0.0256244,0.47245,-0.145317
-0.107832,0.0151391,0.483955,-0.222906
0.124498,-0.023053,-0.46666,-0.154436
0.144827,-0.0139002,-0.468372,-0.173393
0.162654,-0.0231399,-0.464994,-0.164684
0.182477,-0.0209589,-0.472328,-0.171051
0.213596,-0.0223746,-0.488534,-0.174414
0.2266,-0.0219029,-0.497754,-0.17646
0.248363,-0.0247229,-0.514381,-0.176667
0.262352,-0.024065,-0.526693,-0.178589
0.284542,-0.0196037,-0.548063,-0.183594
0.307608,-0.0254212,-0.570464,-0.181279
0.331309,-0.0227168,-0.59591,-0.1844
0.359677,-0.0195439,-0.627586,-0.187543
0.381199,-0.0255104,-0.651729,-0.184782
