X,Y,U1,U2
0.0955573,0.0294755,0.0166266,-1.10161
0.0826239,0.056332,0.0169677,-1.258
0.062349,0.0781832,0.0132736,-1.38379
0.0365341,0.0930874,0.00754915,-1.46991
0.00747301,0.0997204,0.000782774,-1.50804
-0.0222521,0.0974928,-0.00447634,-1.49526
-0.05,0.0866025,-0.00952837,-1.4323
-0.0733052,0.0680173,-0.0153082,-1.32469
-0.0900969,0.0433884,-0.0172776,-1.18283
-0.0988831,0.0149042,-0.0163215,-1.01941
-0.0988831,-0.0149042,-0.0149814,-0.850592
-0.0900969,-0.0433884,-0.0129395,-0.692239
-0.0733052,-0.0680173,-0.00872647,-0.553972
-0.05,-0.0866025,-0.0046734,-0.451724
-0.0222521,-0.0974928,-0.00211215,-0.391226
0.00747301,-0.0997204,6.70669e-05,-0.37879
0.0365341,-0.0930874,0.00389431,-0.414663
0.062349,-0.0781832,0.00748654,-0.496452
0.0826239,-0.056332,0.0106391,-0.620414
0.0955573,-0.0294755,0.0137383,-0.768383
0.1,0.0,0.0160899,-0.934576
0.48,-0.5,0.134891,-3.34731e-38
0.46,-0.5,0.125994,-3.32171e-38
0.44,-0.5,0.117261,-3.29635e-38
0.42,-0.5,0.10869,-3.27114e-38
0.4,-0.5,0.100283,-3.24576e-38
0.37,-0.5,0.0879923,-3.20699e-38
0.35,-0.5,0.0800391,-3.18048e-38
0.33,-0.5,0.0723033,-3.15154e-38
0.31,-0.5,0.0648041,-3.12246e-38
0.29,-0.5,0.0575886,-3.08973e-38
0.27,-0.5,0.0506873,-3.05691e-38
0.25,-0.5,0.0441408,-3.02008e-38
0.23,-0.5,0.037995,-2.983e-38
0.21,-0.5,0.0322862,-2.94348e-38
0.19,-0.5,0.0270553,-2.90284e-38
0.17,-0.5,0.022323,-2.86194e-38
0.15,-0.5,0.0181026,-2.82152e-38
0.12,-0.5,0.0127308,-2.76377e-38
0.1,-0.5,0.00974795,-2.7296e-38
0.08,-0.5,0.00720705,-2.69834e-38
0.06,-0.5,0.00504943,-2.67346e-38
0.04,-0.5,0.00319144,-2.65477e-38
0.02,-0.5,0.00154323,-2.64334e-38
0.5,-0.5,0.143964,-1.68368e-38
0.0,-0.5,-0.0,-2.63969e-38
0.5,0.48,0.0895994,-1.70826
0.5,0.46,0.0971258,-1.67496
0.5,0.44,0.104587,-1.6417
0.5,0.42,0.111927,-1.60845
0.5,0.4,0.119116,-1.57519
0.5,0.37,0.129593,-1.52521
0.5,0.35,0.136376,-1.4918
0.5,0.33,0.143012,-1.4583
0.5,0.31,0.149516,-1.42473
0.5,0.29,0.155891,-1.39109
0.5,0.27,0.162147,-1.35739
0.5,0.25,0.168286,-1.32369
0.5,0.23,0.174282,-1.29001
0.5,0.21,0.180109,-1.25638
0.5,0.19,0.18573,-1.22284
0.5,0.17,0.191088,-1.18943
0.5,0.15,0.196114,-1.15618
0.5,0.12,0.202867,-1.10664
0.5,0.1,0.20672,-1.07381
0.5,0.08,0.209948,-1.04115
0.5,0.06,0.212502,-1.00862
0.5,0.04,0.214297,-0.976131
0.5,0.02,0.215304,-0.943636
0.5,0.0,0.215496,-0.911092
0.5,-0.02,0.214861,-0.878413
0.5,-0.04,0.213437,-0.845527
0.5,-0.06,0.211264,-0.812309
0.5,-0.08,0.208427,-0.778735
0.5,-0.1,0.205014,-0.744756
0.5,-0.13,0.199056,-0.692949
0.5,-0.15,0.194665,-0.657848
0.5,-0.17,0.190084,-0.622279
0.5,-0.19,0.185424,-0.586278
0.5,-0.21,0.180759,-0.549887
0.5,-0.23,0.176182,-0.513104
0.5,-0.25,0.171784,-0.475974
0.5,-0.27,0.167622,-0.438579
0.5,-0.29,0.163735,-0.400962
0.5,-0.31,0.160156,-0.363148
0.5,-0.33,0.156914,-0.32518
0.5,-0.35,0.154027,-0.287096
0.5,-0.38,0.150379,-0.229814
0.5,-0.4,0.148403,-0.19157
0.5,-0.42,0.146801,-0.153283
0.5,-0.44,0.145554,-0.114973
0.5,-0.46,0.144673,-0.0766551
0.5,-0.48,0.144142,-0.0383306
0.5,0.5,0.0820656,-1.7416
-0.48,0.5,-0.0753016,-1.7491
-0.46,0.5,-0.0685949,-1.75662
-0.44,0.5,-0.061844,-1.76421
-0.42,0.5,-0.0550724,-1.77194
-0.4,0.5,-0.0483186,-1.77985
-0.37,0.5,-0.0383223,-1.79214
-0.35,0.5,-0.0318249,-1.80064
-0.33,0.5,-0.0255415,-1.8094
-0.31,0.5,-0.0195207,-1.81841
-0.29,0.5,-0.0138311,-1.82765
-0.27,0.5,-0.00858539,-1.8371
-0.25,0.5,-0.00387358,-1.84668
-0.23,0.5,0.000298217,-1.8563
-0.21,0.5,0.00387598,-1.86588
-0.19,0.5,0.00673457,-1.87533
-0.17,0.5,0.00884783,-1.88449
-0.15,0.5,0.0101932,-1.8932
-0.12,0.5,0.0107343,-1.90508
-0.1,0.5,0.0102519,-1.91199
-0.08,0.5,0.0090742,-1.91787
-0.06,0.5,0.00733037,-1.92263
-0.04,0.5,0.00517845,-1.92612
-0.02,0.5,0.0027188,-1.92827
0.0,0.5,5.19931e-05,-1.92901
0.02,0.5,-0.00261466,-1.92828
0.04,0.5,-0.00513507,-1.92614
0.06,0.5,-0.00729703,-1.92264
0.08,0.5,-0.00901714,-1.91787
0.1,0.5,-0.0101752,-1.91196
0.13,0.5,-0.0106253,-1.90128
0.15,0.5,-0.0100414,-1.89316
0.17,0.5,-0.0086944,-1.88446
0.19,0.5,-0.0065968,-1.87533
0.21,0.5,-0.00378691,-1.86589
0.23,0.5,-0.000238262,-1.85628
0.25,0.5,0.00397644,-1.84666
0.27,0.5,0.00872652,-1.8371
0.29,0.5,0.0139417,-1.82767
0.31,0.5,0.0196074,-1.81842
0.33,0.5,0.0256245,-1.80941
0.35,0.5,0.0319161,-1.80065
0.38,0.5,0.0417224,-1.788
0.4,0.5,0.0484088,-1.77987
0.42,0.5,0.0551624,-1.77196
0.44,0.5,0.0619364,-1.76423
0.46,0.5,0.0686873,-1.75664
0.48,0.5,0.0753942,-1.74912
-0.5,0.5,-0.0819725,-1.74157
-0.5,-0.48,-0.144162,-0.0383228
-0.5,-0.46,-0.144695,-0.0766543
-0.5,-0.44,-0.145575,-0.114976
-0.5,-0.42,-0.146823,-0.153272
-0.5,-0.4,-0.148431,-0.191551
-0.5,-0.37,-0.151522,-0.24891
-0.5,-0.35,-0.154044,-0.287082
-0.5,-0.33,-0.156937,-0.325162
-0.5,-0.31,-0.160177,-0.363123
-0.5,-0.29,-0.163748,-0.400941
-0.5,-0.27,-0.167633,-0.438571
-0.5,-0.25,-0.171801,-0.475958
-0.5,-0.23,-0.176196,-0.513063
-0.5,-0.21,-0.180754,-0.54986
-0.5,-0.19,-0.185414,-0.586276
-0.5,-0.17,-0.190083,-0.62228
-0.5,-0.15,-0.194663,-0.657843
-0.5,-0.12,-0.201136,-0.710299
