X,Y,U1,U2
0.0955573,0.0294755,-0.741203,-0.709873
0.0826239,0.056332,-0.640462,-0.838313
0.062349,0.0781832,-0.483689,-0.941025
0.0365341,0.0930874,-0.283805,-1.0088
0.00747301,0.0997204,-0.055562,-1.04049
-0.0222521,0.0974928,0.172142,-1.03012
-0.05,0.0866025,0.389608,-0.977103
-0.0733052,0.0680173,0.567895,-0.892838
-0.0900969,0.0433884,0.698732,-0.776407
-0.0988831,0.0149042,0.768078,-0.641937
-0.0988831,-0.0149042,0.767848,-0.502338
-0.0900969,-0.0433884,0.697499,-0.3688
-0.0733052,-0.0680173,0.567332,-0.252573
-0.05,-0.0866025,0.385595,-0.165501
-0.0222521,-0.0974928,0.170923,-0.11283
0.00747301,-0.0997204,-0.0561367,-0.101462
0.0365341,-0.0930874,-0.283212,-0.133044
0.062349,-0.0781832,-0.48286,-0.203779
0.0826239,-0.056332,-0.638136,-0.307795
0.0955573,-0.0294755,-0.741353,-0.43393
0.1,0.0,-0.776321,-0.572165
0.48,-0.5,-1.02725,-3.85982e-38
0.46,-0.5,-0.986387,-3.9011e-38
0.44,-0.5,-0.945671,-3.93562e-38
0.42,-0.5,-0.90501,-3.9634e-38
0.4,-0.5,-0.864324,-3.98563e-38
0.37,-0.5,-0.803089,-4.00957e-38
0.35,-0.5,-0.762068,-4.01979e-38
0.33,-0.5,-0.720813,-4.0273099999999997e-38
0.31,-0.5,-0.679291,-4.0315599999999997e-38
0.29,-0.5,-0.637481,-4.03405e-38
0.27,-0.5,-0.59536,-4.03408e-38
0.25,-0.5,-0.55291,-4.03319e-38
0.23,-0.5,-0.510121,-4.0313899999999997e-38
0.21,-0.5,-0.467023,-4.02943e-38
0.19,-0.5,-0.4236,-4.02674e-38
0.17,-0.5,-0.379874,-4.02423e-38
0.15,-0.5,-0.335871,-4.02196e-38
0.12,-0.5,-0.269399,-4.01922e-38
0.1,-0.5,-0.224826,-4.01784e-38
0.08,-0.5,-0.180079,-4.01675e-38
0.06,-0.5,-0.135184,-4.01609e-38
0.04,-0.5,-0.0901818,-4.01572e-38
0.02,-0.5,-0.0451079,-4.01544e-38
0.5,-0.5,-1.06838,-1.91157e-38
0.0,-0.5,-0.0,-4.0154599999999997e-38
0.5,0.48,-1.05595,-1.15461
0.5,0.46,-1.05985,-1.13469
0.5,0.44,-1.06388,-1.11484
0.5,0.42,-1.06815,-1.09502
0.5,0.4,-1.07275,-1.07517
0.5,0.37,-1.08038,-1.04516
0.5,0.35,-1.08599,-1.02489
0.5,0.33,-1.092,-1.0043
0.5,0.31,-1.0984,-0.983329
0.5,0.29,-1.10518,-0.961916
0.5,0.27,-1.11229,-0.939929
0.5,0.25,-1.11961,-0.917288
0.5,0.23,-1.12709,-0.894007
0.5,0.21,-1.13462,-0.870043
0.5,0.19,-1.14211,-0.845271
0.5,0.17,-1.14942,-0.819697
0.5,0.15,-1.15641,-0.79332
0.5,0.12,-1.16596,-0.752278
0.5,0.1,-1.17152,-0.724055
0.5,0.08,-1.17625,-0.695156
0.5,0.06,-1.18006,-0.665723
0.5,0.04,-1.18284,-0.635908
0.5,0.02,-1.18453,-0.605807
0.5,0.0,-1.18507,-0.57554
0.5,-0.02,-1.18442,-0.545295
0.5,-0.04,-1.18263,-0.515216
0.5,-0.06,-1.17972,-0.485505
0.5,-0.08,-1.1758,-0.45626
0.5,-0.1,-1.17097,-0.427604
0.5,-0.13,-1.16229,-0.385954
0.5,-0.15,-1.15573,-0.359144
0.5,-0.17,-1.14875,-0.333196
0.5,-0.19,-1.1415,-0.308097
0.5,-0.21,-1.13407,-0.283812
0.5,-0.23,-1.12662,-0.260416
0.5,-0.25,-1.11931,-0.237877
0.5,-0.27,-1.11224,-0.216055
0.5,-0.29,-1.1055,-0.194899
0.5,-0.31,-1.09913,-0.174424
0.5,-0.33,-1.09325,-0.154543
0.5,-0.35,-1.08791,-0.135181
0.5,-0.38,-1.081,-0.106981
0.5,-0.4,-1.07718,-0.088602
0.5,-0.42,-1.07404,-0.0705386
0.5,-0.44,-1.07157,-0.0527105
0.5,-0.46,-1.0698,-0.0350405
0.5,-0.48,-1.06874,-0.0174902
0.5,0.5,-1.05206,-1.17462
-0.48,0.5,1.0121,-1.17069
-0.46,0.5,0.972159,-1.16678
-0.44,0.5,0.932303,-1.163
-0.42,0.5,0.89248,-1.15946
-0.4,0.5,0.852625,-1.15623
-0.37,0.5,0.792634,-1.15205
-0.35,0.5,0.752414,-1.14973
-0.33,0.5,0.711944,-1.14775
-0.31,0.5,0.671195,-1.1461
-0.29,0.5,0.630131,-1.14477
-0.27,0.5,0.588694,-1.14371
-0.25,0.5,0.54688,-1.14287
-0.23,0.5,0.504722,-1.14222
-0.21,0.5,0.462229,-1.14172
-0.19,0.5,0.419361,-1.14136
-0.17,0.5,0.376158,-1.14109
-0.15,0.5,0.33265,-1.14089
-0.12,0.5,0.26687,-1.14067
-0.1,0.5,0.222744,-1.14057
-0.08,0.5,0.178431,-1.14049
-0.06,0.5,0.133966,-1.14043
-0.04,0.5,0.08939,-1.14039
-0.02,0.5,0.0447292,-1.14037
0.0,0.5,3.51894e-05,-1.14036
