X,Y,U1,U2
0.0955573,0.0294755,0.299759,-1.7448
0.0826239,0.056332,0.263746,-1.98243
0.062349,0.0781832,0.200021,-2.17379
0.0365341,0.0930874,0.116928,-2.30573
0.00747301,0.0997204,0.0216276,-2.36352
-0.0222521,0.0974928,-0.0707359,-2.34408
-0.05,0.0866025,-0.159,-2.24888
-0.0733052,0.0680173,-0.234341,-2.08386
-0.0900969,0.0433884,-0.285498,-1.86827
-0.0988831,0.0149042,-0.308977,-1.62003
-0.0988831,-0.0149042,-0.306456,-1.36386
-0.0900969,-0.0433884,-0.277162,-1.12451
-0.0733052,-0.0680173,-0.222169,-0.915376
-0.05,-0.0866025,-0.148714,-0.761134
-0.0222521,-0.0974928,-0.0659942,-0.670292
0.00747301,-0.0997204,0.0205353,-0.651814
0.0365341,-0.0930874,0.110067,-0.705553
0.062349,-0.0781832,0.189197,-0.828539
0.0826239,-0.056332,0.251393,-1.0161
0.0955573,-0.0294755,0.294562,-1.23927
0.1,0.0,0.311553,-1.49117
0.48,-0.5,0.618802,-4.6824499999999997e-38
0.46,-0.5,0.587766,-4.62089e-38
0.44,-0.5,0.557082,-4.56224e-38
0.42,-0.5,0.526713,-4.50629e-38
0.4,-0.5,0.496632,-4.45206e-38
0.37,-0.5,0.452018,-4.37287e-38
0.35,-0.5,0.422641,-4.32094e-38
0.33,-0.5,0.393574,-4.2655899999999997e-38
0.31,-0.5,0.36484,-4.21117e-38
0.29,-0.5,0.336518,-4.15076e-38
0.27,-0.5,0.308653,-4.09107e-38
0.25,-0.5,0.281314,-4.02445e-38
0.23,-0.5,0.254581,-3.95768e-38
0.21,-0.5,0.228529,-3.88653e-38
0.19,-0.5,0.203228,-3.81362e-38
0.17,-0.5,0.178724,-3.74017e-38
0.15,-0.5,0.155049,-3.66751e-38
0.12,-0.5,0.12111,-3.56349e-38
0.1,-0.5,0.0994784,-3.50188e-38
0.08,-0.5,0.078587,-3.44543e-38
0.06,-0.5,0.0583385,-3.40044e-38
0.04,-0.5,0.038596,-3.36658e-38
0.02,-0.5,0.0192087,-3.3459e-38
0.5,-0.5,0.650253,-2.36611e-38
0.0,-0.5,-0.0,-3.33928e-38
0.5,0.48,0.546888,-2.68607
0.5,0.46,0.561991,-2.63277
0.5,0.44,0.577021,-2.57951
0.5,0.42,0.591922,-2.52627
0.5,0.4,0.606667,-2.47302
0.5,0.37,0.62849,-2.39305
0.5,0.35,0.64286,-2.33967
0.5,0.33,0.657112,-2.28626
0.5,0.31,0.671267,-2.23285
0.5,0.29,0.685322,-2.17947
0.5,0.27,0.699281,-2.1262
0.5,0.25,0.713105,-2.07315
0.5,0.23,0.726725,-2.02038
0.5,0.21,0.740058,-1.96795
0.5,0.19,0.753005,-1.91598
0.5,0.17,0.765405,-1.86453
0.5,0.15,0.777082,-1.81367
0.5,0.12,0.792833,-1.73851
0.5,0.1,0.801861,-1.68909
0.5,0.08,0.80945,-1.64022
0.5,0.06,0.81548,-1.59177
0.5,0.04,0.819756,-1.54354
0.5,0.02,0.822201,-1.49541
0.5,0.0,0.822743,-1.44724
0.5,-0.02,0.821355,-1.39883
0.5,-0.04,0.818113,-1.34997
0.5,-0.06,0.813106,-1.30038
0.5,-0.08,0.806522,-1.24997
0.5,-0.1,0.798559,-1.19861
0.5,-0.13,0.784572,-1.11956
0.5,-0.15,0.774203,-1.06549
0.5,-0.17,0.763333,-1.01025
0.5,-0.19,0.752224,-0.953926
0.5,-0.21,0.741043,-0.89659
0.5,-0.23,0.730011,-0.83822
0.5,-0.25,0.719359,-0.778907
0.5,-0.27,0.709219,-0.718851
0.5,-0.29,0.699699,-0.658149
0.5,-0.31,0.690878,-0.596842
0.5,-0.33,0.682845,-0.535039
0.5,-0.35,0.675652,-0.472836
