X,Y,U1,U2
0.0955573,0.0294755,-0.83277,0.82794
0.0826239,0.056332,-0.723366,0.91529
0.062349,0.0781832,-0.546968,0.98621
0.0365341,0.0930874,-0.320586,1.03755
0.00747301,0.0997204,-0.0617517,1.05843
-0.0222521,0.0974928,0.194302,1.05117
-0.05,0.0866025,0.438886,1.01742
-0.0733052,0.0680173,0.641789,0.952818
-0.0900969,0.0433884,0.787384,0.873487
-0.0988831,0.0149042,0.861644,0.782477
-0.0988831,-0.0149042,0.859443,0.689219
-0.0900969,-0.0433884,0.779729,0.604566
-0.0733052,-0.0680173,0.631601,0.530243
-0.05,-0.0866025,0.427447,0.476506
-0.0222521,-0.0974928,0.189534,0.445969
0.00747301,-0.0997204,-0.0613376,0.440282
0.0365341,-0.0930874,-0.314623,0.458007
0.062349,-0.0781832,-0.537646,0.499807
0.0826239,-0.056332,-0.711623,0.566644
0.0955573,-0.0294755,-0.828732,0.644269
0.1,0.0,-0.870299,0.735203
0.48,-0.5,-1.31684,6.58106e-39
0.46,-0.5,-1.25932,5.758289999999999e-39
0.44,-0.5,-1.2022,5.0129699999999994e-39
0.42,-0.5,-1.14538,4.3431099999999996e-39
0.4,-0.5,-1.08876,3.7314199999999993e-39
0.37,-0.5,-1.00409,2.9063699999999997e-39
0.35,-0.5,-0.947768,2.4092399999999996e-39
0.33,-0.5,-0.89151,1.9062599999999998e-39
0.31,-0.5,-0.835305,1.4368899999999998e-39
0.29,-0.5,-0.779199,9.33664e-40
0.27,-0.5,-0.72321,4.559910000000001e-40
0.25,-0.5,-0.667379,-6.999490000000001e-41
0.23,-0.5,-0.611762,-5.89722e-40
0.21,-0.5,-0.556441,-1.1431899999999998e-39
0.19,-0.5,-0.501462,-1.70495e-39
0.17,-0.5,-0.446878,-2.2724099999999997e-39
0.15,-0.5,-0.392735,-2.8356599999999997e-39
0.12,-0.5,-0.312408,-3.6458199999999994e-39
0.1,-0.5,-0.259444,-4.12768e-39
0.08,-0.5,-0.206933,-4.5705099999999996e-39
0.06,-0.5,-0.154818,-4.92521e-39
0.04,-0.5,-0.103022,-5.1930899999999995e-39
0.02,-0.5,-0.0514533,-5.356339999999999e-39
0.5,-0.5,-1.3749,3.6363199999999994e-39
0.0,-0.5,0.0,-5.409459999999999e-39
0.5,0.48,-1.28227,1.22516
0.5,0.46,-1.29747,1.19847
0.5,0.44,-1.31272,1.17174
0.5,0.42,-1.32806,1.145
0.5,0.4,-1.34354,1.11828
0.5,0.37,-1.3671,1.07831
0.5,0.35,-1.38308,1.05183
0.5,0.33,-1.39929,1.02557
0.5,0.31,-1.41574,0.999614
0.5,0.29,-1.4324,0.974041
0.5,0.27,-1.44925,0.949016
0.5,0.25,-1.46617,0.924692
0.5,0.23,-1.48305,0.901099
0.5,0.21,-1.49974,0.878329
0.5,0.19,-1.5161,0.856565
0.5,0.17,-1.53186,0.835868
0.5,0.15,-1.54679,0.816279
0.5,0.12,-1.56703,0.788988
0.5,0.1,-1.5787,0.772024
0.5,0.08,-1.58856,0.756053
0.5,0.06,-1.59643,0.740834
0.5,0.04,-1.60208,0.72611
0.5,0.02,-1.60539,0.711681
0.5,0.0,-1.60625,0.697364
0.5,-0.02,-1.60462,0.682824
0.5,-0.04,-1.60059,0.667803
0.5,-0.06,-1.59426,0.651899
0.5,-0.08,-1.58586,0.634967
0.5,-0.1,-1.57562,0.616805
0.5,-0.13,-1.55749,0.586886
0.5,-0.15,-1.54395,0.565076
0.5,-0.17,-1.52967,0.541646
0.5,-0.19,-1.51498,0.516663
0.5,-0.21,-1.50009,0.490222
0.5,-0.23,-1.48531,0.462244
0.5,-0.25,-1.47094,0.432824
0.5,-0.27,-1.45717,0.402236
0.5,-0.29,-1.44416,0.3706
0.5,-0.31,-1.43201,0.337934
0.5,-0.33,-1.42088,0.304397
0.5,-0.35,-1.41085,0.270124
0.5,-0.38,-1.39801,0.217568
0.5,-0.4,-1.39096,0.18199
0.5,-0.42,-1.38521,0.146006
0.5,-0.44,-1.3807,0.109731
0.5,-0.46,-1.37749,0.0732724
0.5,-0.48,-1.37555,0.0366734
0.5,0.5,-1.26707,1.25184
-0.48,0.5,1.21363,1.26702
-0.46,0.5,1.16031,1.28223
-0.44,0.5,1.10701,1.2974
-0.42,0.5,1.05372,1.3125
-0.4,0.5,1.00042,1.32753
-0.37,0.5,0.920433,1.34996
-0.35,0.5,0.867106,1.36487
-0.33,0.5,0.813818,1.37976
-0.31,0.5,0.760606,1.39466
-0.29,0.5,0.707534,1.40956
-0.27,0.5,0.6547,1.42447
-0.25,0.5,0.602231,1.43931
-0.23,0.5,0.550172,1.45402
-0.21,0.5,0.498612,1.46849
-0.19,0.5,0.447689,1.48263
-0.17,0.5,0.397485,1.49624
-0.15,0.5,0.348065,1.50913
-0.12,0.5,0.275517,1.52666
-0.1,0.5,0.228081,1.53681
-0.08,0.5,0.181453,1.54545
-0.06,0.5,0.135483,1.55245
-0.04,0.5,0.0899841,1.55757
-0.02,0.5,0.0448409,1.56072
0.0,0.5,-3.72379e-05,1.5618
0.02,0.5,-0.0449145,1.56073
0.04,0.5,-0.0899676,1.55758
0.06,0.5,-0.135464,1.55244
0.08,0.5,-0.181479,1.54543
0.1,0.5,-0.228144,1.53675
0.13,0.5,-0.299589,1.52103
0.15,0.5,-0.348208,1.50906
0.17,0.5,-0.397623,1.49616
0.19,0.5,-0.447799,1.48258
0.21,0.5,-0.498675,1.46845
0.23,0.5,-0.550229,1.45396
0.25,0.5,-0.602321,1.43926
0.27,0.5,-0.654815,1.42443
0.29,0.5,-0.707617,1.40954
0.31,0.5,-0.760682,1.39464
0.33,0.5,-0.813899,1.37974
0.35,0.5,-0.867197,1.36485
0.38,0.5,-0.947188,1.34249
0.4,0.5,-1.00051,1.32753
0.42,0.5,-1.05381,1.3125
0.44,0.5,-1.1071,1.29741
0.46,0.5,-1.1604,1.28224
0.48,0.5,-1.21373,1.26704
-0.5,0.5,1.26698,1.25181
-0.5,-0.48,1.37553,0.0366515
-0.5,-0.46,1.37748,0.0732785
-0.5,-0.44,1.38068,0.109767
-0.5,-0.42,1.3852,0.146004
-0.5,-0.4,1.39098,0.181966
-0.5,-0.37,1.40198,0.235217
-0.5,-0.35,1.41084,0.27013
-0.5,-0.33,1.4209,0.304407
-0.5,-0.31,1.43203,0.337914
-0.5,-0.29,1.44414,0.370582
-0.5,-0.27,1.45717,0.402297
-0.5,-0.25,1.47097,0.432873
-0.5,-0.23,1.48535,0.462202
-0.5,-0.21,1.50008,0.490244
-0.5,-0.19,1.51497,0.516789
-0.5,-0.17,1.52971,0.541788
-0.5,-0.15,1.54401,0.565197
-0.5,-0.12,1.56393,0.597249
-0.5,-0.1,1.57571,0.616817
-0.5,-0.08,1.58595,0.635051
-0.5,-0.06,1.59435,0.651948
-0.5,-0.04,1.60062,0.667738
-0.5,-0.02,1.60465,0.682816
-0.5,0.0,1.60626,0.697389
-0.5,0.02,1.60543,0.711731
-0.5,0.04,1.60214,0.726072
-0.5,0.06,1.59647,0.740773
-0.5,0.08,1.5886,0.756021
-0.5,0.1,1.5787,0.772034
-0.5,0.13,1.56064,0.797818
-0.5,0.15,1.54681,0.816282
-0.5,0.17,1.53184,0.835847
-0.5,0.19,1.51607,0.856572
-0.5,0.21,1.49975,0.87833
-0.5,0.23,1.48305,0.901037
-0.5,0.25,1.46614,0.924631
-0.5,0.27,1.44921,0.949014
-0.5,0.29,1.43237,0.97402
-0.5,0.31,1.41569,0.999568
-0.5,0.33,1.39923,1.02553
-0.5,0.35,1.38301,1.0518
-0.5,0.38,1.35913,1.09158
-0.5,0.4,1.34347,1.11825
-0.5,0.42,1.32799,1.14498
-0.5,0.44,1.31264,1.17172
-0.5,0.46,1.29739,1.19844
-0.5,0.48,1.28218,1.22514
-0.5,-0.5,1.3749,3.6296399999999995e-39
-0.02,-0.5,0.0514536,-5.351939999999999e-39
-0.04,-0.5,0.103021,-5.19249e-39
-0.06,-0.5,0.154818,-4.9238799999999995e-39
-0.08,-0.5,0.206934,-4.5668e-39
-0.1,-0.5,0.259444,-4.13477e-39
-0.13,-0.5,0.339048,-3.38408e-39
-0.15,-0.5,0.392714,-2.8526199999999998e-39
-0.17,-0.5,0.446861,-2.2683199999999997e-39
-0.19,-0.5,0.501446,-1.7026599999999998e-39
-0.21,-0.5,0.556417,-1.1437099999999998e-39
-0.23,-0.5,0.61174,-6.10082e-40
-0.25,-0.5,0.667345,-5.16322e-41
-0.27,-0.5,0.723177,4.445e-40
-0.29,-0.5,0.779187,9.479690000000001e-40
-0.31,-0.5,0.835305,1.42931e-39
-0.33,-0.5,0.891501,1.9101999999999997e-39
-0.35,-0.5,0.947761,2.3992899999999997e-39
-0.38,-0.5,1.03227,3.17133e-39
-0.4,-0.5,1.08874,3.7306999999999996e-39
-0.42,-0.5,1.14535,4.34171e-39
-0.44,-0.5,1.20218,5.0120899999999994e-39
-0.46,-0.5,1.25931,5.7623399999999993e-39
-0.48,-0.5,1.31684,6.596799999999999e-39
-0.106781,-0.0256244,0.847911,0.686303
-0.107832,0.0151391,0.871236,0.766113
0.124498,-0.023053,-0.86654,0.712962
0.144827,-0.0139002,-0.894039,0.725901
0.162654,-0.0231399,-0.898197,0.719038
0.182477,-0.0209589,-0.92331,0.71761
0.213596,-0.0223746,-0.965771,0.710262
0.2266,-0.0219029,-0.987456,0.707787
0.248363,-0.0247229,-1.02473,0.700533
0.262352,-0.024065,-1.0518,0.698126
0.284542,-0.0196037,-1.09824,0.69787
0.307608,-0.0254212,-1.14527,0.687876
0.331309,-0.0227168,-1.19896,0.686569
0.359677,-0.0195439,-1.26523,0.685807
0.381199,-0.0255104,-1.31488,0.67706
0.39445,-0.0248091,-1.34695,0.676562
0.418873,-0.0219922,-1.40701,0.677891
0.439745,-0.0217889,-1.45808,0.677536
0.452315,-0.0231638,-1.48865,0.676311
0.476567,-0.0224094,-1.54803,0.678241
0.47754,0.000739599,-1.55263,0.697978
0.453297,0.00321964,-1.49374,0.700943
0.438333,0.00226967,-1.4572,0.700939
0.423712,0.000533538,-1.42149,0.700272
0.395709,-0.000876594,-1.35353,0.701222
0.381768,0.00195347,-1.32024,0.705581
0.352849,0.00225322,-1.25213,0.70927
0.329482,3.60363e-06,-1.19877,0.709989
0.30815,-0.00326592,-1.15157,0.70971
0.286163,-0.00417613,-1.10518,0.712126
0.267623,-0.00040341,-1.06836,0.718387
0.255554,0.000302463,-1.04548,0.720755
0.234337,2.34683e-05,-1.0076,0.723548
0.211863,0.00076166,-0.97183,0.727094
0.191758,-0.00277593,-0.944644,0.727548
0.168814,0.00121293,-0.919897,0.732528
0.148228,0.00374966,-0.90381,0.736
0.126665,-0.00174402,-0.89197,0.733844
0.100995,-0.040955,-0.795275,0.649726
0.12334,-0.0334137,-0.840414,0.701732
0.144849,-0.0400602,-0.845867,0.705631
0.164493,-0.0383815,-0.875444,0.707441
0.189188,-0.0389798,-0.910373,0.70263
0.209935,-0.0470738,-0.934215,0.690122
0.231663,-0.0425976,-0.979305,0.688482
0.247582,-0.0443088,-1.00863,0.682621
0.273856,-0.0366767,-1.0679,0.683658
0.290257,-0.0457283,-1.09698,0.670708
0.315905,-0.0446181,-1.15479,0.666451
0.333815,-0.0455546,-1.19541,0.662145
0.352298,-0.0401975,-1.24113,0.664958
0.377743,-0.0450227,-1.29993,0.65664
0.396549,-0.0489224,-1.34404,0.650857
0.421835,-0.0406282,-1.40923,0.658752
0.432186,-0.0460988,-1.43287,0.653174
0.449733,-0.0413484,-1.47776,0.658701
0.480006,-0.0424323,-1.55169,0.661333
0.107591,-0.061234,-0.714483,0.644523
0.127232,-0.068244,-0.725001,0.660621
0.148549,-0.0581396,-0.802167,0.686304
0.166286,-0.0686874,-0.80843,0.674145
0.185084,-0.0692637,-0.846953,0.671634
0.20656,-0.0646962,-0.900652,0.672533
0.229349,-0.0654636,-0.947268,0.665501
0.250769,-0.0671471,-0.991548,0.65777
0.264176,-0.0543317,-1.0338,0.66804
0.296408,-0.0658338,-1.09558,0.647516
0.313578,-0.063918,-1.13685,0.645883
0.330509,-0.0595898,-1.17955,0.64741
0.356721,-0.0607158,-1.24139,0.641913
0.377309,-0.0607565,-1.29135,0.639465
0.399723,-0.064702,-1.34442,0.633512
0.420971,-0.0629661,-1.39806,0.635259
0.435646,-0.0593629,-1.43617,0.639657
0.462522,-0.0639955,-1.50088,0.638106
0.481278,-0.0617666,-1.54805,0.644401
0.0834876,-0.083603,-0.544441,0.557335
0.102498,-0.0820332,-0.604855,0.603097
0.133928,-0.0817737,-0.691945,0.643962
0.155175,-0.0821734,-0.745745,0.652858
0.175282,-0.0843592,-0.790071,0.651549
0.190267,-0.0814238,-0.832778,0.654598
0.206117,-0.0844129,-0.864283,0.647895
0.226659,-0.0861893,-0.909894,0.640924
0.253158,-0.0883873,-0.970094,0.631571
0.273508,-0.0853703,-1.02256,0.630201
0.297074,-0.0817078,-1.08269,0.62896
0.317056,-0.080215,-1.13197,0.626395
0.336183,-0.0819715,-1.17708,0.620776
0.354967,-0.0858742,-1.22026,0.613279
0.376482,-0.0868362,-1.27325,0.609888
0.39965,-0.0892275,-1.32982,0.60601
0.421884,-0.0806154,-1.39103,0.616108
0.442334,-0.0826517,-1.44123,0.615751
0.462121,-0.0819469,-1.49122,0.62011
0.481251,-0.0809947,-1.5393,0.626498
-0.475682,-0.108432,1.50999,0.597
-0.458951,-0.103829,1.4706,0.596408
-0.436541,-0.104814,1.41308,0.590655
-0.416005,-0.106092,1.35983,0.586922
-0.402504,-0.103884,1.32696,0.588928
-0.371413,-0.105456,1.2466,0.588069
-0.351293,-0.100758,1.19939,0.595866
-0.333815,-0.102593,1.15366,0.596118
-0.31418,-0.103062,1.10365,0.598959
-0.292322,-0.102555,1.04933,0.604146
-0.272434,-0.106882,0.993922,0.602715
-0.250163,-0.0996189,0.947319,0.617565
-0.228559,-0.1073,0.880206,0.610967
-0.2074,-0.106084,0.826313,0.615874
-0.185596,-0.107531,0.763237,0.614031
-0.164636,-0.105391,0.707827,0.614543
-0.126214,-0.111157,0.569199,0.578529
-0.105626,-0.113859,0.487614,0.545526
-0.084962,-0.10825,0.431119,0.518393
-0.0640805,-0.103631,0.371947,0.481613
-0.0435718,-0.100973,0.299095,0.448709
0.0397161,-0.101458,-0.277715,0.443939
0.0595324,-0.106263,-0.34114,0.46802
0.0882078,-0.103883,-0.461628,0.534208
0.103546,-0.0970579,-0.542121,0.577051
0.125986,-0.103665,-0.592716,0.593917
0.151866,-0.108137,-0.661875,0.604475
0.167169,-0.107533,-0.709791,0.611141
0.187822,-0.105727,-0.773534,0.617174
0.209441,-0.104323,-0.834999,0.618241
0.230847,-0.103739,-0.892011,0.615794
0.251829,-0.101233,-0.949189,0.614889
0.264985,-0.104011,-0.978615,0.608167
0.28416,-0.100869,-1.03067,0.608017
0.312118,-0.102991,-1.09853,0.599461
0.337377,-0.10815,-1.15757,0.588579
0.352631,-0.104662,-1.19941,0.590861
0.374158,-0.107938,-1.25149,0.584801
0.394526,-0.102397,-1.30765,0.590675
0.419259,-0.100854,-1.37168,0.593188
0.440603,-0.0998968,-1.42652,0.596715
0.46006,-0.109525,-1.4697,0.590509
0.480513,-0.100288,-1.52698,0.607279
-0.0818015,-0.0807665,0.558762,0.554052
-0.103284,-0.0843161,0.595954,0.601146
-0.13275,-0.0811757,0.690796,0.643868
-0.14342,-0.0837006,0.710277,0.646157
-0.165881,-0.0850993,0.764424,0.649992
-0.187484,-0.0888108,0.809999,0.644326
-0.20387,-0.0806547,0.86611,0.653391
-0.224243,-0.0810785,0.912678,0.648276
-0.254186,-0.0855968,0.976288,0.634899
-0.274427,-0.0885674,1.02111,0.626052
-0.294037,-0.0830458,1.07412,0.628071
-0.314013,-0.0889141,1.117,0.616648
-0.331713,-0.0867164,1.16231,0.615897
-0.351345,-0.0848046,1.21222,0.615039
-0.373505,-0.0821258,1.26914,0.615629
-0.399506,-0.0818306,1.33423,0.614432
-0.421101,-0.0844096,1.38692,0.611918
-0.436441,-0.080196,1.42786,0.617681
-0.481296,-0.0882319,1.5357,0.619549
-0.103296,-0.0621663,0.703112,0.634619
-0.125682,-0.0649609,0.735037,0.664796
-0.145764,-0.063738,0.779889,0.678604
-0.165907,-0.0605719,0.828078,0.684567
-0.185027,-0.0639817,0.858251,0.678277
-0.210503,-0.0649623,0.90842,0.671383
-0.227331,-0.0616275,0.948476,0.670524
-0.256854,-0.0661505,1.00615,0.657262
-0.273998,-0.0623897,1.04789,0.656869
-0.291023,-0.0622751,1.08631,0.65279
-0.310482,-0.0656705,1.12838,0.644596
-0.336409,-0.0610858,1.1926,0.644665
-0.357136,-0.0659205,1.23939,0.636043
-0.374553,-0.059872,1.28519,0.640732
-0.396451,-0.0564822,1.34049,0.642674
-0.421448,-0.0583645,1.40146,0.640137
-0.440463,-0.064651,1.4458,0.63451
-0.459145,-0.0659939,1.49169,0.635551
-0.480721,-0.0690487,1.54367,0.637549
-0.102271,-0.0472345,0.771847,0.647685
-0.127881,-0.036747,0.836254,0.7018
-0.146502,-0.0421057,0.843025,0.703841
-0.165151,-0.0446128,0.863651,0.701836
-0.186259,-0.0412441,0.902564,0.701593
-0.211874,-0.0452161,0.94042,0.691435
-0.232551,-0.0431236,0.980912,0.68778
-0.252251,-0.0349986,1.02552,0.690307
-0.271146,-0.0339801,1.06402,0.686862
-0.288558,-0.0472447,1.09227,0.669514
-0.307299,-0.0469881,1.13409,0.665712
-0.329078,-0.0438567,1.18533,0.6648
-0.359192,-0.0382947,1.2583,0.666079
-0.37273,-0.0461335,1.28739,0.655952
-0.395692,-0.0412246,1.34503,0.659118
-0.42011,-0.0406883,1.40508,0.6587
-0.44012,-0.0467147,1.45233,0.652802
-0.453517,-0.0447577,1.48604,0.655618
-0.47779,-0.0493369,1.54416,0.654755
-0.126283,0.00488165,0.891691,0.739852
-0.143884,-0.00261592,0.900405,0.7327
-0.183426,-0.000213168,0.93539,0.730169
-0.207766,-4.63847e-05,0.965993,0.727215
-0.229563,-0.0010559,0.999806,0.723421
-0.247334,5.92146e-05,1.03063,0.72181
-0.262992,0.00709622,1.05955,0.725658
-0.289199,0.0037503,1.11191,0.719235
-0.310057,0.00203451,1.15605,0.714717
-0.331991,0.00118926,1.20448,0.710903
-0.355218,-0.00623071,1.25709,0.700222
-0.373698,0.00472226,1.30106,0.709337
-0.394081,0.000734422,1.3497,0.703032
-0.417582,-0.00953214,1.4058,0.690588
-0.437134,-0.00157414,1.45418,0.697294
-0.457423,-0.00120186,1.50366,0.696664
-0.479497,0.00176933,1.55735,0.698732
-0.476193,-0.0275493,1.54617,0.673739
-0.45632,-0.0225446,1.49868,0.677035
-0.438696,-0.0261018,1.45472,0.673266
-0.413283,-0.0214859,1.39349,0.678711
-0.389429,-0.0197087,1.33604,0.682323
-0.371209,-0.0207297,1.29217,0.683138
-0.351968,-0.0197948,1.24718,0.686596
-0.33448,-0.0199435,1.20689,0.688968
-0.31531,-0.018992,1.16421,0.692991
-0.293033,-0.0162309,1.11715,0.699592
-0.271014,-0.0198987,1.07074,0.700191
-0.252897,-0.0209354,1.03506,0.702949
-0.233339,-0.0190037,1.00057,0.70867
-0.207139,-0.0236689,0.955181,0.710715
-0.190229,-0.0187277,0.935162,0.717725
-0.166638,-0.0222261,0.904029,0.719444
-0.141454,-0.0181026,0.887013,0.722943
-0.128083,-0.0142774,0.883859,0.722684
-0.127466,0.0216886,0.874427,0.754693
-0.145612,0.0125878,0.897508,0.741741
-0.165739,0.0220107,0.906208,0.744904
-0.185757,0.0196274,0.931032,0.741918
-0.209331,0.0183591,0.964537,0.739928
-0.222393,0.0168679,0.985522,0.737907
-0.246097,0.0209936,1.02498,0.739485
-0.270944,0.0236629,1.07177,0.739865
-0.289994,0.0252337,1.11019,0.739654
-0.312567,0.0186616,1.16032,0.730858
-0.330785,0.0211282,1.20038,0.731282
-0.354058,0.0193664,1.25408,0.72682
-0.375994,0.0235633,1.30517,0.728599
-0.388856,0.0175347,1.33664,0.720884
-0.410792,0.0226975,1.389,0.723695
-0.438896,0.0226679,1.45754,0.720507
-0.454213,0.0220377,1.49499,0.718246
-0.477933,0.0229884,1.55245,0.716466
-0.106506,0.0619345,0.717429,0.833197
-0.127482,0.0636391,0.751134,0.803858
-0.14784,0.0630555,0.793625,0.788569
-0.169376,0.0585856,0.846949,0.777052
-0.190735,0.0552784,0.89293,0.771907
-0.211614,0.0617687,0.922987,0.778863
-0.231123,0.0695944,0.953025,0.787703
-0.250521,0.0619554,1.00389,0.778782
-0.275439,0.0617496,1.0584,0.777902
-0.292971,0.0666613,1.09385,0.782456
-0.31326,0.059709,1.14524,0.773415
-0.329899,0.0589447,1.18447,0.771123
-0.350889,0.0601896,1.2335,0.77033
-0.374224,0.0596904,1.28984,0.766903
-0.394047,0.0633776,1.33649,0.768032
-0.414619,0.0656926,1.386,0.767051
-0.435905,0.0560461,1.44214,0.753336
-0.462321,0.0634802,1.50422,0.75474
-0.481106,0.0613635,1.55071,0.747801
-0.480184,0.04226,1.55428,0.732098
-0.460613,0.0459457,1.50584,0.739142
-0.437693,0.0437827,1.45037,0.741043
-0.416541,0.0434474,1.39869,0.743973
-0.397759,0.0463384,1.35201,0.749585
-0.379545,0.0425864,1.30913,0.748055
-0.359181,0.039196,1.26165,0.746908
-0.338305,0.0408426,1.21223,0.750909
-0.312221,0.0430685,1.15182,0.755765
-0.293719,0.0396066,1.1126,0.753645
