X,Y,U1,U2
0.0955573,0.0294755,-1.04096,1.03492
0.0826239,0.056332,-0.904208,1.14411
0.062349,0.0781832,-0.68371,1.23276
0.0365341,0.0930874,-0.400733,1.29694
0.00747301,0.0997204,-0.0771896,1.32304
-0.0222521,0.0974928,0.242878,1.31396
-0.05,0.0866025,0.548608,1.27177
-0.0733052,0.0680173,0.802236,1.19102
-0.0900969,0.0433884,0.98423,1.09186
-0.0988831,0.0149042,1.07705,0.978096
-0.0988831,-0.0149042,1.0743,0.861524
-0.0900969,-0.0433884,0.974661,0.755708
-0.0733052,-0.0680173,0.789501,0.662803
-0.05,-0.0866025,0.534309,0.595632
-0.0222521,-0.0974928,0.236917,0.557462
0.00747301,-0.0997204,-0.076672,0.550353
0.0365341,-0.0930874,-0.393278,0.572509
0.062349,-0.0781832,-0.672058,0.624759
0.0826239,-0.056332,-0.889529,0.708305
0.0955573,-0.0294755,-1.03592,0.805337
0.1,0.0,-1.08787,0.919004
0.48,-0.5,-1.64605,8.226329999999999e-39
0.46,-0.5,-1.57415,7.19786e-39
0.44,-0.5,-1.50275,6.26622e-39
0.42,-0.5,-1.43172,5.42889e-39
0.4,-0.5,-1.36096,4.664279999999999e-39
0.37,-0.5,-1.25511,3.6329599999999996e-39
0.35,-0.5,-1.18471,3.0115499999999996e-39
0.33,-0.5,-1.11439,2.3828299999999997e-39
0.31,-0.5,-1.04413,1.79611e-39
0.29,-0.5,-0.973998,1.16708e-39
0.27,-0.5,-0.904013,5.69989e-40
0.25,-0.5,-0.834224,-8.74929e-41
0.23,-0.5,-0.764702,-7.371530000000001e-40
0.21,-0.5,-0.695551,-1.4289899999999998e-39
0.19,-0.5,-0.626827,-2.1311799999999997e-39
0.17,-0.5,-0.558598,-2.8405199999999996e-39
0.15,-0.5,-0.490919,-3.54458e-39
0.12,-0.5,-0.390509,-4.5572799999999994e-39
0.1,-0.5,-0.324304,-5.15959e-39
0.08,-0.5,-0.258666,-5.713139999999999e-39
0.06,-0.5,-0.193522,-6.156509999999999e-39
0.04,-0.5,-0.128778,-6.49136e-39
0.02,-0.5,-0.0643166,-6.695419999999999e-39
0.5,-0.5,-1.71863,4.5454e-39
