X,Y,U1,U2
0.0955573,0.0294755,-0.191566,-0.894629
0.0826239,0.056332,-0.163874,-1.02917
0.062349,0.0781832,-0.123468,-1.13724
0.0365341,0.0930874,-0.0725974,-1.21053
0.00747301,0.0997204,-0.0146552,-1.24343
-0.0222521,0.0974928,0.0440992,-1.23247
-0.05,0.0866025,0.100193,-1.17795
-0.0733052,0.0680173,0.145139,-1.08649
-0.0900969,0.0433884,0.179568,-0.964456
-0.0988831,0.0149042,0.199089,-0.823786
-0.0988831,-0.0149042,0.199879,-0.678287
-0.0900969,-0.0433884,0.181993,-0.541098
-0.0733052,-0.0680173,0.149174,-0.421411
-0.05,-0.0866025,0.102188,-0.332597
-0.0222521,-0.0974928,0.0452713,-0.279734
0.00747301,-0.0997204,-0.0152673,-0.26872
0.0365341,-0.0930874,-0.0747613,-0.300161
0.062349,-0.0781832,-0.126925,-0.3715
0.0826239,-0.056332,-0.167267,-0.478753
0.0955573,-0.0294755,-0.193445,-0.607315
0.1,0.0,-0.201485,-0.750775
0.48,-0.5,-0.19432,-3.18278e-38
0.46,-0.5,-0.188837,-3.17775e-38
0.44,-0.5,-0.18329,-3.17103e-38
0.42,-0.5,-0.177654,-3.16256e-38
0.4,-0.5,-0.171909,-3.15247e-38
0.37,-0.5,-0.163029,-3.13434e-38
0.35,-0.5,-0.156903,-3.12025e-38
0.33,-0.5,-0.150574,-3.10388e-38
0.31,-0.5,-0.144022,-3.08653e-38
0.29,-0.5,-0.137211,-3.06639e-38
0.27,-0.5,-0.130115,-3.04551e-38
0.25,-0.5,-0.122704,-3.02183e-38
0.23,-0.5,-0.114945,-2.99774e-38
0.21,-0.5,-0.106824,-2.97206e-38
0.19,-0.5,-0.0983102,-2.94546e-38
0.17,-0.5,-0.0893966,-2.91875e-38
0.15,-0.5,-0.0800813,-2.89241e-38
0.12,-0.5,-0.0653711,-2.85491e-38
0.1,-0.5,-0.0551129,-2.83279e-38
0.08,-0.5,-0.0445261,-2.8126e-38
0.06,-0.5,-0.033655,-2.79659e-38
0.04,-0.5,-0.0225641,-2.78459e-38
0.02,-0.5,-0.0113201,-2.77724e-38
0.5,-0.5,-0.199762,-1.59277e-38
0.0,-0.5,-0.0,-2.77493e-38
0.5,0.48,-0.230967,-1.40197
0.5,0.46,-0.227241,-1.37534
0.5,0.44,-0.223593,-1.34876
0.5,0.42,-0.220088,-1.3222
0.5,0.4,-0.216768,-1.29562
0.5,0.37,-0.212181,-1.25563
0.5,0.35,-0.209393,-1.22884
0.5,0.33,-0.206811,-1.20191
0.5,0.31,-0.204418,-1.17483
0.5,0.29,-0.20221,-1.14758
0.5,0.27,-0.200166,-1.12014
0.5,0.25,-0.198257,-1.09252
0.5,0.23,-0.196481,-1.06474
0.5,0.21,-0.194826,-1.0368
0.5,0.19,-0.193294,-1.0087
0.5,0.17,-0.191878,-0.980466
0.5,0.15,-0.190583,-0.952112
0.5,0.12,-0.188892,-0.909391
0.5,0.1,-0.187956,-0.880802
0.5,0.08,-0.187191,-0.85214
0.5,0.06,-0.186605,-0.823407
0.5,0.04,-0.186222,-0.794604
0.5,0.02,-0.186043,-0.765716
0.5,0.0,-0.186066,-0.736751
0.5,-0.02,-0.186294,-0.707707
0.5,-0.04,-0.186711,-0.678576
0.5,-0.06,-0.187302,-0.649335
0.5,-0.08,-0.188038,-0.619994
0.5,-0.1,-0.188891,-0.590555
0.5,-0.13,-0.190317,-0.546228
0.5,-0.15,-0.191322,-0.516579
0.5,-0.17,-0.192333,-0.486868
0.5,-0.19,-0.19332,-0.457113
0.5,-0.21,-0.194264,-0.427331
